seed,attention_pat_r,mean_pat_neighborhood_mass,null_type,window_level_pat_permutation_r,within_subject_window_permutation_r
7300,-0.003767,0.455183,band_constrained_random_weight,,
7301,-0.037767,0.444091,band_constrained_random_weight,,
7302,0.029329,0.460053,band_constrained_random_weight,,
7303,0.003601,0.460099,band_constrained_random_weight,,
7304,0.062535,0.470097,band_constrained_random_weight,,
7305,0.002248,0.459141,band_constrained_random_weight,,
7306,-0.010080,0.455513,band_constrained_random_weight,,
7307,-0.006960,0.457223,band_constrained_random_weight,,
7308,-0.036283,0.458357,band_constrained_random_weight,,
7309,0.045724,0.470958,band_constrained_random_weight,,
7310,-0.045585,0.457991,band_constrained_random_weight,,
7311,-0.029633,0.442218,band_constrained_random_weight,,
7312,-0.031453,0.443191,band_constrained_random_weight,,
7313,-0.040849,0.462048,band_constrained_random_weight,,
7314,0.050674,0.469506,band_constrained_random_weight,,
7315,0.026501,0.461108,band_constrained_random_weight,,
7316,0.036498,0.463728,band_constrained_random_weight,,
7317,-0.026987,0.451590,band_constrained_random_weight,,
7318,-0.012717,0.453149,band_constrained_random_weight,,
7319,-0.047697,0.443969,band_constrained_random_weight,,
0,,,permutation,0.035897,-0.006239
1,,,permutation,0.030084,-0.000471
2,,,permutation,-0.015367,0.001085
3,,,permutation,-0.021990,-0.067538
4,,,permutation,0.014885,-0.008919
5,,,permutation,0.072735,-0.001372
6,,,permutation,0.019584,0.046095
7,,,permutation,0.027545,0.025184
8,,,permutation,-0.016491,-0.005200
9,,,permutation,0.036822,-0.008262
10,,,permutation,-0.007841,0.037260
11,,,permutation,-0.044582,-0.008787
12,,,permutation,0.001138,0.013366
13,,,permutation,0.017324,0.044090
14,,,permutation,0.035468,-0.036829
15,,,permutation,-0.038134,-0.003577
16,,,permutation,-0.025846,-0.005136
17,,,permutation,-0.012538,0.005894
18,,,permutation,0.015045,-0.002922
19,,,permutation,0.021914,-0.011414
20,,,permutation,-0.040910,-0.037351
21,,,permutation,0.007404,0.089377
22,,,permutation,0.009862,0.022261
23,,,permutation,0.093351,0.005789
24,,,permutation,0.037212,-0.031202
25,,,permutation,-0.024784,0.091218
26,,,permutation,-0.004261,0.020668
27,,,permutation,0.006051,0.038199
28,,,permutation,0.013418,-0.034931
29,,,permutation,-0.023529,0.005749
30,,,permutation,0.016734,-0.012202
31,,,permutation,-0.032440,0.004343
32,,,permutation,0.018970,-0.020868
33,,,permutation,-0.066839,0.040499
34,,,permutation,-0.044807,0.049783
35,,,permutation,0.039261,-0.103792
36,,,permutation,0.043850,0.019559
37,,,permutation,-0.024498,-0.021002
38,,,permutation,-0.024641,0.004605
39,,,permutation,-0.004435,0.021477
40,,,permutation,0.002764,0.062026
41,,,permutation,-0.002214,0.009270
42,,,permutation,0.011268,-0.030605
43,,,permutation,-0.000054,0.012661
44,,,permutation,-0.019978,0.059077
45,,,permutation,-0.033362,-0.075487
46,,,permutation,-0.030843,-0.004542
47,,,permutation,-0.049264,0.007197
48,,,permutation,-0.016651,0.010930
49,,,permutation,-0.048190,0.027610
50,,,permutation,-0.028166,0.048566
51,,,permutation,-0.015076,0.014749
52,,,permutation,0.024134,-0.020082
53,,,permutation,0.019862,0.027427
54,,,permutation,0.005598,-0.053822
55,,,permutation,-0.045252,-0.042460
56,,,permutation,-0.020222,0.043386
57,,,permutation,0.012732,0.020812
58,,,permutation,0.006215,-0.017850
59,,,permutation,0.005159,0.072430
60,,,permutation,-0.004271,0.020011
61,,,permutation,-0.010418,0.021701
62,,,permutation,-0.042328,0.049371
63,,,permutation,-0.038952,-0.016726
64,,,permutation,-0.029973,0.030061
65,,,permutation,0.018882,0.057739
66,,,permutation,-0.039037,0.007004
67,,,permutation,-0.040145,0.026705
68,,,permutation,-0.002377,0.057467
69,,,permutation,-0.004933,0.036869
70,,,permutation,-0.084344,0.046443
71,,,permutation,-0.042367,-0.055127
72,,,permutation,0.010810,-0.007630
73,,,permutation,0.091141,-0.025203
74,,,permutation,0.019103,0.003197
75,,,permutation,-0.028963,-0.004866
76,,,permutation,0.023560,0.021634
77,,,permutation,-0.064382,-0.040486
78,,,permutation,0.007972,0.054222
79,,,permutation,-0.029564,0.006685
80,,,permutation,-0.043605,0.023087
81,,,permutation,0.037650,-0.044266
82,,,permutation,0.040797,0.031795
83,,,permutation,-0.042412,0.049822
84,,,permutation,-0.030514,0.003269
85,,,permutation,0.082171,0.012603
86,,,permutation,0.020716,0.023233
87,,,permutation,0.035697,-0.009497
88,,,permutation,0.024894,-0.010028
89,,,permutation,-0.003469,0.015940
90,,,permutation,0.027990,0.055649
91,,,permutation,-0.005022,-0.060654
92,,,permutation,-0.017141,-0.012758
93,,,permutation,0.030547,-0.012419
94,,,permutation,0.002573,0.099379
95,,,permutation,-0.020305,0.036892
96,,,permutation,-0.006396,-0.038042
97,,,permutation,0.016050,-0.044066
98,,,permutation,-0.032358,-0.007225
99,,,permutation,0.010389,0.021578
