stage,epoch,learning_rate,optimizer_phase,scheduler_phase_epoch,train_loss,validation_sbp_mae,validation_dbp_mae,validation_mean_mae,selected_checkpoint,best_epoch_so_far,epochs_without_improvement,early_stopping_triggered,stop_reason
contrastive,1,0.00012000,contrastive,1,0.81810312,,,,False,,,False,
contrastive,2,0.00024000,contrastive,2,0.66578893,,,,False,,,False,
contrastive,3,0.00036000,contrastive,3,0.54371185,,,,False,,,False,
contrastive,4,0.00048000,contrastive,4,0.46011949,,,,False,,,False,
contrastive,5,0.00060000,contrastive,5,0.39938038,,,,False,,,False,
supervised,1,0.00012000,supervised,1,1.29479068,7.45802660,4.99614187,6.22708424,False,1.00000000,0.00000000,False,
supervised,2,0.00024000,supervised,2,1.20781000,7.36658505,4.93176922,6.14917714,False,2.00000000,0.00000000,False,
supervised,3,0.00036000,supervised,3,1.15324330,7.28228257,4.87440291,6.07834274,False,3.00000000,0.00000000,False,
supervised,4,0.00048000,supervised,4,1.07967738,7.20794832,4.82542156,6.01668494,False,4.00000000,0.00000000,False,
supervised,5,0.00060000,supervised,5,1.02043076,7.22285862,4.84134970,6.03210416,False,4.00000000,1.00000000,False,
supervised,6,0.00059974,supervised,6,0.95752338,7.11842697,4.77020773,5.94431735,False,6.00000000,0.00000000,False,
supervised,7,0.00059895,supervised,7,0.91446988,7.01007346,4.69475988,5.85241667,False,7.00000000,0.00000000,False,
supervised,8,0.00059763,supervised,8,0.85492956,6.93445745,4.64100364,5.78773055,False,8.00000000,0.00000000,False,
supervised,9,0.00059580,supervised,9,0.80772882,6.85148516,4.57972347,5.71560431,False,9.00000000,0.00000000,False,
supervised,10,0.00059344,supervised,10,0.76939973,6.76590455,4.51457546,5.64024000,False,10.00000000,0.00000000,False,
supervised,11,0.00059057,supervised,11,0.71717328,6.68438101,4.45096449,5.56767275,False,11.00000000,0.00000000,False,
supervised,12,0.00058720,supervised,12,0.69271062,6.69338395,4.45233960,5.57286177,False,11.00000000,1.00000000,False,
supervised,13,0.00058331,supervised,13,0.65892586,6.59110417,4.37349972,5.48230195,False,13.00000000,0.00000000,False,
supervised,14,0.00057893,supervised,14,0.63388726,6.49572504,4.30089530,5.39831017,False,14.00000000,0.00000000,False,
supervised,15,0.00057406,supervised,15,0.59437410,6.44102948,4.25963379,5.35033164,False,15.00000000,0.00000000,False,
supervised,16,0.00056871,supervised,16,0.56275733,6.37959409,4.21567532,5.29763471,False,16.00000000,0.00000000,False,
