stage,epoch,learning_rate,optimizer_phase,scheduler_phase_epoch,train_loss,validation_sbp_mae,validation_dbp_mae,validation_mean_mae,selected_checkpoint,best_epoch_so_far,epochs_without_improvement,early_stopping_triggered,stop_reason
contrastive,1,0.00012000,contrastive,1,0.82275244,,,,False,,,False,
contrastive,2,0.00024000,contrastive,2,0.65863930,,,,False,,,False,
contrastive,3,0.00036000,contrastive,3,0.54420499,,,,False,,,False,
contrastive,4,0.00048000,contrastive,4,0.45873890,,,,False,,,False,
contrastive,5,0.00060000,contrastive,5,0.39138812,,,,False,,,False,
supervised,1,0.00012000,supervised,1,1.29652975,6.40578016,4.68886912,5.54732464,False,1.00000000,0.00000000,False,
supervised,2,0.00024000,supervised,2,1.22013182,6.33867216,4.64541072,5.49204144,False,2.00000000,0.00000000,False,
supervised,3,0.00036000,supervised,3,1.15389467,6.27239686,4.60223843,5.43731765,False,3.00000000,0.00000000,False,
supervised,4,0.00048000,supervised,4,1.09396448,6.20087216,4.55407037,5.37747127,False,4.00000000,0.00000000,False,
supervised,5,0.00060000,supervised,5,1.03051109,6.20222996,4.55682469,5.37952733,False,4.00000000,1.00000000,False,
supervised,6,0.00059974,supervised,6,0.96742577,6.07502033,4.46430139,5.26966086,False,6.00000000,0.00000000,False,
supervised,7,0.00059895,supervised,7,0.91125733,5.94652517,4.36874405,5.15763461,False,7.00000000,0.00000000,False,
supervised,8,0.00059763,supervised,8,0.86246284,5.86410290,4.30490352,5.08450321,False,8.00000000,0.00000000,False,
supervised,9,0.00059580,supervised,9,0.80193671,5.79184972,4.24753706,5.01969339,False,9.00000000,0.00000000,False,
supervised,10,0.00059344,supervised,10,0.77068655,5.73000563,4.19773706,4.96387134,False,10.00000000,0.00000000,False,
supervised,11,0.00059057,supervised,11,0.73843347,5.67408625,4.15316951,4.91362788,False,11.00000000,0.00000000,False,
supervised,12,0.00058720,supervised,12,0.69126552,5.69809933,4.16816802,4.93313368,False,11.00000000,1.00000000,False,
supervised,13,0.00058331,supervised,13,0.65566173,5.59250051,4.09142877,4.84196464,False,13.00000000,0.00000000,False,
supervised,14,0.00057893,supervised,14,0.62370852,5.47629029,4.00917389,4.74273209,False,14.00000000,0.00000000,False,
supervised,15,0.00057406,supervised,15,0.58794341,5.39236944,3.95212401,4.67224672,False,15.00000000,0.00000000,False,
supervised,16,0.00056871,supervised,16,0.56610212,5.30649946,3.89480837,4.60065392,False,16.00000000,0.00000000,False,
supervised,17,0.00056289,supervised,17,0.53724427,5.22615973,3.84175712,4.53395842,False,17.00000000,0.00000000,False,
supervised,18,0.00055661,supervised,18,0.51250265,5.15650202,3.79576759,4.47613481,False,18.00000000,0.00000000,False,
supervised,19,0.00054988,supervised,19,0.48344778,5.17923967,3.81520092,4.49722030,False,18.00000000,1.00000000,False,
supervised,20,0.00054271,supervised,20,0.47341881,5.08715871,3.74946518,4.41831194,False,20.00000000,0.00000000,False,
supervised,21,0.00053511,supervised,21,0.44546563,4.99526832,3.68167110,4.33846971,False,21.00000000,0.00000000,False,
supervised,22,0.00052710,supervised,22,0.43800091,4.93813480,3.63707754,4.28760617,False,22.00000000,0.00000000,False,
supervised,23,0.00051869,supervised,23,0.42376347,4.87278269,3.58515078,4.22896673,False,23.00000000,0.00000000,False,
supervised,24,0.00050990,supervised,24,0.40761286,4.80156906,3.52843569,4.16500238,False,24.00000000,0.00000000,False,
supervised,25,0.00050074,supervised,25,0.38862502,4.73033147,3.47209651,4.10121399,False,25.00000000,0.00000000,False,
supervised,26,0.00049123,supervised,26,0.37669240,4.74664267,3.48041340,4.11352803,False,25.00000000,1.00000000,False,
supervised,27,0.00048138,supervised,27,0.37261625,4.65122726,3.40971979,4.03047353,False,27.00000000,0.00000000,False,
supervised,28,0.00047121,supervised,28,0.34617478,4.56510966,3.34794528,3.95652747,False,28.00000000,0.00000000,False,
supervised,29,0.00046075,supervised,29,0.34367701,4.52401358,3.32085199,3.92243278,False,29.00000000,0.00000000,False,
supervised,30,0.00045000,supervised,30,0.33970046,4.48083902,3.29384762,3.88734332,False,30.00000000,0.00000000,False,
supervised,31,0.00043899,supervised,31,0.31927906,4.43083513,3.26271632,3.84677573,False,31.00000000,0.00000000,False,
