checkpoint_role,selection_rule,model,configuration_id,outer_fold_id,test_subject_id,checkpoint,checkpoint_sha256,state_dict_sha256,selected_epoch,stopped_epoch,maximum_epochs,early_stopping_patience,base_learning_rate,checkpoint_rule,selected_validation_mean_mae,selected_validation_sbp_mae,selected_validation_dbp_mae,prediction_shard_sha256,audit_inputs,audit_predictions,audit_rows,training_log,validation_predictions,validation_predictions_sha256,validation_prediction_rows,validation_prediction_subjects,input_view
representative_outer_fold,fixed-seed simple random outer-fold sample; seed 7213,physiocat,pcat-delay-v2,1,subject-grouped-outer-fold-1,artifacts/checkpoints/audit_folds/physiocat/fold_000001/checkpoint.npz,fcc43af4216afd8471c3cd68fcb40f77818468d3278d3982007070bc2429516c,57c7269620e98b70857e71ba241a58a2d04c69eb72719f3e85b7cd2f07df4400,34,46,80,12,0.00060000,minimum validation mean MAE; earliest epoch breaks ties,3.70120134,4.26230710,3.14009558,f40337ad9f6a1758686c96cbf2d4d4882b1f3a46fd5cd076e1a00d43c03e232c,artifacts/checkpoints/audit_folds/physiocat/fold_000001/audit_inputs.npz,artifacts/checkpoints/audit_folds/physiocat/fold_000001/audit_predictions.csv,8,artifacts/checkpoints/audit_folds/physiocat/fold_000001/training_log.csv,artifacts/checkpoints/audit_folds/physiocat/fold_000001/validation_predictions.csv.gz,5d077fd918cdc1c60fe31b18bc21333f2a1313a8f16371f8ab031b667b34e671,18593,271,window_robust
representative_outer_fold,fixed-seed simple random outer-fold sample; seed 7213,physiocat,pcat-delay-v2,2,subject-grouped-outer-fold-2,artifacts/checkpoints/audit_folds/physiocat/fold_000002/checkpoint.npz,e35d6db517b8b9b4d35081be9b386a54bfdc708e93957adcef8e6fb00c96c8ea,b07cb78b95ea2055a3d19d0defdc4946092020c448a73876adbacf5060ba9f9a,36,48,80,12,0.00060000,minimum validation mean MAE; earliest epoch breaks ties,3.62082992,4.14679942,3.09486042,b4caddc3032d70856d16b5db5bcc142f35dfc2ec6e448cf93e70532e6947081c,artifacts/checkpoints/audit_folds/physiocat/fold_000002/audit_inputs.npz,artifacts/checkpoints/audit_folds/physiocat/fold_000002/audit_predictions.csv,8,artifacts/checkpoints/audit_folds/physiocat/fold_000002/training_log.csv,artifacts/checkpoints/audit_folds/physiocat/fold_000002/validation_predictions.csv.gz,e38d3e906a0e6cedd07bfe5821b1898c59615ff3d76ae6545d4555627399ba00,18383,271,window_robust
representative_outer_fold,fixed-seed simple random outer-fold sample; seed 7213,physiocat,pcat-delay-v2,3,subject-grouped-outer-fold-3,artifacts/checkpoints/audit_folds/physiocat/fold_000003/checkpoint.npz,5d92055378359bd0e5c7ef2f8447f5af69d1b71b714f44639fa358201eade567,02f8501f0f65491dd652c7e65aebf914f731d632ad8298f43af26112e09ebc4c,37,49,80,12,0.00060000,minimum validation mean MAE; earliest epoch breaks ties,3.66008349,4.23438379,3.08578318,3d1091a1b6a7323754c6106d88255b95efb90ca27ed50b9df45536943fad0dcb,artifacts/checkpoints/audit_folds/physiocat/fold_000003/audit_inputs.npz,artifacts/checkpoints/audit_folds/physiocat/fold_000003/audit_predictions.csv,8,artifacts/checkpoints/audit_folds/physiocat/fold_000003/training_log.csv,artifacts/checkpoints/audit_folds/physiocat/fold_000003/validation_predictions.csv.gz,7168775ea01026a3ff0f96fa23b5a0b6af42a86e3eb3dae5e8c74c77c7fc08ae,18103,271,window_robust
representative_outer_fold,fixed-seed simple random outer-fold sample; seed 7213,physiocat,pcat-delay-v2,4,subject-grouped-outer-fold-4,artifacts/checkpoints/audit_folds/physiocat/fold_000004/checkpoint.npz,2e5bc6a3a957bf92c48bda4ae6d8ead7b4473ebf8e91078741ab12a3abb03a52,0b8b3eb2197e6edc4ff22fa1cace63d3145a5c1dbd715d4ddbcd034cc6c4df42,36,48,80,12,0.00060000,minimum validation mean MAE; earliest epoch breaks ties,3.70020513,4.27156149,3.12884876,090a9fe287875bfd8810e44085ed8483137b514dd4f66a4a73bd6e94dfec2892,artifacts/checkpoints/audit_folds/physiocat/fold_000004/audit_inputs.npz,artifacts/checkpoints/audit_folds/physiocat/fold_000004/audit_predictions.csv,8,artifacts/checkpoints/audit_folds/physiocat/fold_000004/training_log.csv,artifacts/checkpoints/audit_folds/physiocat/fold_000004/validation_predictions.csv.gz,274bc6af8c0a452a31b41fcce5e49bf4edf9aaf6822e4e6e9e7ff93d64c9d0a9,18893,271,window_robust
representative_outer_fold,fixed-seed simple random outer-fold sample; seed 7213,physiocat,pcat-delay-v2,5,subject-grouped-outer-fold-5,artifacts/checkpoints/audit_folds/physiocat/fold_000005/checkpoint.npz,f33ddd5884e20f29a0796421f2af498328b23b716533bcdb9af2dfcfadbb06ab,1cd5d27ca43459101a5243ab19dbc3c07ff6edb0228e4457c944d2d2f92dcb8a,40,52,80,12,0.00060000,minimum validation mean MAE; earliest epoch breaks ties,3.70708487,4.32264060,3.09152914,037bb2b7b46dfef24ffe88caf9109e2d9afbee920da5669c9a57d99aa8123dd2,artifacts/checkpoints/audit_folds/physiocat/fold_000005/audit_inputs.npz,artifacts/checkpoints/audit_folds/physiocat/fold_000005/audit_predictions.csv,8,artifacts/checkpoints/audit_folds/physiocat/fold_000005/training_log.csv,artifacts/checkpoints/audit_folds/physiocat/fold_000005/validation_predictions.csv.gz,1a6b10c59fb696d88551f1f8f92b103beaa40b868182b224f4b9840fcb42ccaa,19104,271,window_robust
representative_outer_fold,fixed-seed simple random outer-fold sample; seed 7213,matched_no_delay,pcat-nodelay-v2,1,subject-grouped-outer-fold-1,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000001/checkpoint.npz,a49373be088c673750b17fd0688ef113b6d8ad5e3bf779c6c5e9659fb79dd314,338a842a6883b0953a1a9aa780f923b1d0ab24c45e08766f4924c09938b779cc,27,39,80,12,0.00060000,minimum validation mean MAE; earliest epoch breaks ties,4.35047226,5.25401433,3.44693019,27c34cf183f6106278089163f9981850a62e5bd09510de2af2cc49d92322e580,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000001/audit_inputs.npz,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000001/audit_predictions.csv,8,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000001/training_log.csv,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000001/validation_predictions.csv.gz,796f87160cb95a411ad511c3fa4011d075fc7828838855a079fba5eeb379e3ca,18593,271,window_robust
representative_outer_fold,fixed-seed simple random outer-fold sample; seed 7213,matched_no_delay,pcat-nodelay-v2,2,subject-grouped-outer-fold-2,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000002/checkpoint.npz,a917f81916d5c98b5ef78b145e163040a4c2f9f766393990e197cc7f6d71f0e0,7461864d719a032e2df607f89256b988a6339b0fa6111ce050bad942e0877ef8,31,43,80,12,0.00060000,minimum validation mean MAE; earliest epoch breaks ties,4.45853291,5.37200728,3.54505854,ff397eda3b2e3522e39cf838ad0dfa2ae162f10d79d6fed1268f35613a1e35be,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000002/audit_inputs.npz,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000002/audit_predictions.csv,8,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000002/training_log.csv,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000002/validation_predictions.csv.gz,82b53d42c6996c8ef81c6f1a53affdc1c517e46a65405c4d7fec1b871a288fb6,18383,271,window_robust
representative_outer_fold,fixed-seed simple random outer-fold sample; seed 7213,matched_no_delay,pcat-nodelay-v2,3,subject-grouped-outer-fold-3,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000003/checkpoint.npz,d06ab2c8ec07de1e737907450d0325486d74905b707ad54a733f58560cd067b2,5b74f24d70d6649b6dc1be06ff2de80b3e0b8d2251d2cea4d904f2b91bb11d73,34,46,80,12,0.00060000,minimum validation mean MAE; earliest epoch breaks ties,4.37181442,5.29899341,3.44463544,15212cd66d46741fa77316cd0c2c2a4732fb14fa200a1e6054db571b756fe409,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000003/audit_inputs.npz,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000003/audit_predictions.csv,8,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000003/training_log.csv,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000003/validation_predictions.csv.gz,7e0c50aa6d9ec173a913ee36d067a59aab8a6c67d6f8de9814a7c14d7e86817c,18103,271,window_robust
representative_outer_fold,fixed-seed simple random outer-fold sample; seed 7213,matched_no_delay,pcat-nodelay-v2,4,subject-grouped-outer-fold-4,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000004/checkpoint.npz,b79ae446ee91deb57a431639efa1da6b256abb041c11fd38d299dead76c05119,7157f973b98f04516c4a67c0f7f98b7c8900f48ac18206ba76f1495a6e37599b,29,41,80,12,0.00060000,minimum validation mean MAE; earliest epoch breaks ties,4.33845546,5.21077031,3.46614061,a3b449bd3b6d3aba1664c3e61dd9df2ffd9c52c17e13f615ab9ba116a9788bc4,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000004/audit_inputs.npz,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000004/audit_predictions.csv,8,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000004/training_log.csv,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000004/validation_predictions.csv.gz,b90dab92b36968d770faebf3fdf96f5089a1fb2d0c7a96207fde1e49dada6ebc,18893,271,window_robust
representative_outer_fold,fixed-seed simple random outer-fold sample; seed 7213,matched_no_delay,pcat-nodelay-v2,5,subject-grouped-outer-fold-5,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000005/checkpoint.npz,0dec74faaddb6f056eae805ed83578578580c1c4fb184a36939322ee6eaa0cb7,63a8229725dba3e94bd1507fd1f8c42ffa9292d9b832718f5e62fb9c43736c65,40,52,80,12,0.00060000,minimum validation mean MAE; earliest epoch breaks ties,4.34152015,5.12501955,3.55802075,36ba65090332df838600170520953e158a1f85a50ca5648479f28d8a0413e327,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000005/audit_inputs.npz,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000005/audit_predictions.csv,8,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000005/training_log.csv,artifacts/checkpoints/audit_folds/matched_no_delay/fold_000005/validation_predictions.csv.gz,85759b563a4622c4de683f24c0eab8cc30378e325e5778f79999b372e8e360d7,19104,271,window_robust
