stage,epoch,learning_rate,optimizer_phase,scheduler_phase_epoch,train_loss,validation_sbp_mae,validation_dbp_mae,validation_mean_mae,selected_checkpoint,best_epoch_so_far,epochs_without_improvement,early_stopping_triggered,stop_reason
contrastive,1,0.00012000,contrastive,1,0.81765178,,,,False,,,False,
contrastive,2,0.00024000,contrastive,2,0.66815850,,,,False,,,False,
contrastive,3,0.00036000,contrastive,3,0.54821454,,,,False,,,False,
contrastive,4,0.00048000,contrastive,4,0.46237628,,,,False,,,False,
contrastive,5,0.00060000,contrastive,5,0.39227351,,,,False,,,False,
supervised,1,0.00012000,supervised,1,1.28971500,7.78560768,5.24747261,6.51654014,False,1.00000000,0.00000000,False,
supervised,2,0.00024000,supervised,2,1.23092196,7.73195056,5.21376170,6.47285613,False,2.00000000,0.00000000,False,
supervised,3,0.00036000,supervised,3,1.15674457,7.67671271,5.17833846,6.42752559,False,3.00000000,0.00000000,False,
supervised,4,0.00048000,supervised,4,1.07921080,7.61450574,5.13646770,6.37548672,False,4.00000000,0.00000000,False,
supervised,5,0.00060000,supervised,5,1.01765578,7.62491033,5.14519861,6.38505447,False,4.00000000,1.00000000,False,
supervised,6,0.00059974,supervised,6,0.94948398,7.50796248,5.05951183,6.28373715,False,6.00000000,0.00000000,False,
supervised,7,0.00059895,supervised,7,0.91230912,7.39172712,4.97232618,6.18202665,False,7.00000000,0.00000000,False,
supervised,8,0.00059763,supervised,8,0.86401609,7.32324150,4.91825208,6.12074679,False,8.00000000,0.00000000,False,
supervised,9,0.00059580,supervised,9,0.81325251,7.26531132,4.87117159,6.06824146,False,9.00000000,0.00000000,False,
supervised,10,0.00059344,supervised,10,0.76386246,7.21652550,4.83099711,6.02376131,False,10.00000000,0.00000000,False,
supervised,11,0.00059057,supervised,11,0.73569466,7.17117824,4.79447928,5.98282876,False,11.00000000,0.00000000,False,
supervised,12,0.00058720,supervised,12,0.69674177,7.20307578,4.81573407,6.00940493,False,11.00000000,1.00000000,False,
supervised,13,0.00058331,supervised,13,0.65444367,7.10359631,4.74402612,5.92381121,False,13.00000000,0.00000000,False,
supervised,14,0.00057893,supervised,14,0.62000120,6.99335201,4.66663541,5.82999371,False,14.00000000,0.00000000,False,
supervised,15,0.00057406,supervised,15,0.58214837,6.91677768,4.61529437,5.76603603,False,15.00000000,0.00000000,False,
supervised,16,0.00056871,supervised,16,0.56077973,6.84035941,4.56498612,5.70267276,False,16.00000000,0.00000000,False,
supervised,17,0.00056289,supervised,17,0.53707627,6.77114529,4.51989881,5.64552205,False,17.00000000,0.00000000,False,
supervised,18,0.00055661,supervised,18,0.51484063,6.71290404,4.48184512,5.59737458,False,18.00000000,0.00000000,False,
supervised,19,0.00054988,supervised,19,0.49697998,6.74566890,4.50802984,5.62684937,False,18.00000000,1.00000000,False,
supervised,20,0.00054271,supervised,20,0.47083738,6.66103805,4.44709370,5.55406587,False,20.00000000,0.00000000,False,
supervised,21,0.00053511,supervised,21,0.45250961,6.57386918,4.38214611,5.47800765,False,21.00000000,0.00000000,False,
supervised,22,0.00052710,supervised,22,0.43827289,6.51965193,4.33921879,5.42943536,False,22.00000000,0.00000000,False,
supervised,23,0.00051869,supervised,23,0.42398399,6.45692620,4.28895648,5.37294134,False,23.00000000,0.00000000,False,
supervised,24,0.00050990,supervised,24,0.39715100,6.38938848,4.23491719,5.31215283,False,24.00000000,0.00000000,False,
supervised,25,0.00050074,supervised,25,0.38783654,6.32335924,4.18261231,5.25298578,False,25.00000000,0.00000000,False,
supervised,26,0.00049123,supervised,26,0.37935863,6.34577367,4.19581253,5.27079310,False,25.00000000,1.00000000,False,
supervised,27,0.00048138,supervised,27,0.35156669,6.25587643,4.12969509,5.19278576,False,27.00000000,0.00000000,False,
supervised,28,0.00047121,supervised,28,0.34764621,6.17305054,4.07089540,5.12197297,False,28.00000000,0.00000000,False,
supervised,29,0.00046075,supervised,29,0.34179373,6.13196426,4.04430363,5.08813395,False,29.00000000,0.00000000,False,
