stage,epoch,learning_rate,optimizer_phase,scheduler_phase_epoch,train_loss,validation_sbp_mae,validation_dbp_mae,validation_mean_mae,selected_checkpoint,best_epoch_so_far,epochs_without_improvement,early_stopping_triggered,stop_reason
supervised,1,0.00006000,supervised,1,1.31658127,6.85146276,4.73483200,5.79314738,False,1,0,False,
supervised,2,0.00012000,supervised,2,1.22783964,6.72018311,4.63959211,5.67988761,False,2,0,False,
supervised,3,0.00018000,supervised,3,1.15621093,6.58993609,4.54726148,5.56859879,False,3,0,False,
supervised,4,0.00024000,supervised,4,1.07363929,6.46741145,4.46232282,5.46486714,False,4,0,False,
supervised,5,0.00030000,supervised,5,1.01440734,6.43729448,4.44541059,5.44135253,False,5,0,False,
supervised,6,0.00029987,supervised,6,0.96168331,6.29533838,4.34773046,5.32153442,False,6,0,False,
supervised,7,0.00029947,supervised,7,0.91025441,6.15816327,4.25280006,5.20548166,False,7,0,False,
supervised,8,0.00029882,supervised,8,0.84771327,6.05996788,4.18458228,5.12227508,False,8,0,False,
supervised,9,0.00029790,supervised,9,0.82317395,5.95581510,4.11001043,5.03291276,False,9,0,False,
supervised,10,0.00029672,supervised,10,0.77824207,5.84567951,4.02891149,4.93729550,False,10,0,False,
supervised,11,0.00029529,supervised,11,0.72082683,5.73395599,3.94471296,4.83933448,False,11,0,False,
supervised,12,0.00029360,supervised,12,0.69205065,5.70857496,3.92168856,4.81513176,False,12,0,False,
supervised,13,0.00029166,supervised,13,0.65056208,5.57234377,3.81788932,4.69511654,False,13,0,False,
supervised,14,0.00028947,supervised,14,0.61140314,5.44911476,3.72393890,4.58652683,False,14,0,False,
supervised,15,0.00028703,supervised,15,0.59320055,5.37678640,3.66813959,4.52246300,False,15,0,False,
supervised,16,0.00028436,supervised,16,0.56575459,5.30866955,3.61730534,4.46298744,False,16,0,False,
supervised,17,0.00028145,supervised,17,0.53532362,5.23842562,3.56712074,4.40277318,False,17,0,False,
supervised,18,0.00027830,supervised,18,0.51670647,5.16297682,3.51523294,4.33910488,False,18,0,False,
supervised,19,0.00027494,supervised,19,0.49722259,5.16622808,3.52190043,4.34406426,False,18,1,False,
supervised,20,0.00027135,supervised,20,0.47816362,5.00159404,3.40696849,4.20428126,True,20,0,False,
supervised,21,0.00026755,supervised,21,0.44296471,5.02793920,3.41895851,4.22344885,False,20,1,False,
supervised,22,0.00026355,supervised,22,0.43679288,5.03364001,3.42929824,4.23146913,False,20,2,False,
supervised,23,0.00025935,supervised,23,0.41249378,5.03814974,3.43915419,4.23865197,False,20,3,False,
supervised,24,0.00025495,supervised,24,0.40403714,5.04162539,3.44579069,4.24370804,False,20,4,False,
supervised,25,0.00025037,supervised,25,0.39394222,5.04520857,3.44825329,4.24673093,False,20,5,False,
supervised,26,0.00024561,supervised,26,0.38293875,5.05050834,3.44776426,4.24913630,False,20,6,False,
supervised,27,0.00024069,supervised,27,0.36650872,5.05854763,3.44693508,4.25274136,False,20,7,False,
supervised,28,0.00023561,supervised,28,0.34836693,5.06886171,3.44830471,4.25858321,False,20,8,False,
supervised,29,0.00023037,supervised,29,0.34584624,5.07943695,3.45305202,4.26624449,False,20,9,False,
supervised,30,0.00022500,supervised,30,0.33767023,5.08768697,3.46056255,4.27412476,False,20,10,False,
supervised,31,0.00021949,supervised,31,0.31065533,5.09197533,3.46898702,4.28048117,False,20,11,False,
supervised,32,0.00021387,supervised,32,0.31512338,5.09276362,3.47635994,4.28456178,False,20,12,True,early_stopping_patience_exhausted
