stage,epoch,learning_rate,optimizer_phase,scheduler_phase_epoch,train_loss,validation_sbp_mae,validation_dbp_mae,validation_mean_mae,selected_checkpoint,best_epoch_so_far,epochs_without_improvement,early_stopping_triggered,stop_reason
contrastive,1,0.00012000,contrastive,1,0.81888564,,,,False,,,False,
contrastive,2,0.00024000,contrastive,2,0.66278671,,,,False,,,False,
contrastive,3,0.00036000,contrastive,3,0.54778701,,,,False,,,False,
contrastive,4,0.00048000,contrastive,4,0.45650233,,,,False,,,False,
contrastive,5,0.00060000,contrastive,5,0.39934676,,,,False,,,False,
supervised,1,0.00012000,supervised,1,1.29215325,6.76317233,4.82860309,5.79588771,False,1.00000000,0.00000000,False,
supervised,2,0.00024000,supervised,2,1.23407336,6.70583506,4.79135804,5.74859655,False,2.00000000,0.00000000,False,
supervised,3,0.00036000,supervised,3,1.15713159,6.63995067,4.74633758,5.69314412,False,3.00000000,0.00000000,False,
supervised,4,0.00048000,supervised,4,1.07837574,6.56648753,4.69375337,5.63012045,False,4.00000000,0.00000000,False,
supervised,5,0.00060000,supervised,5,1.01696937,6.57178179,4.69601304,5.63389742,False,4.00000000,1.00000000,False,
supervised,6,0.00059974,supervised,6,0.95667068,6.45967697,4.61135885,5.53551791,False,6.00000000,0.00000000,False,
supervised,7,0.00059895,supervised,7,0.90307839,6.35716902,4.53238603,5.44477753,False,7.00000000,0.00000000,False,
supervised,8,0.00059763,supervised,8,0.85642902,6.30578721,4.49003104,5.39790913,False,8.00000000,0.00000000,False,
supervised,9,0.00059580,supervised,9,0.79965244,6.26099679,4.45298177,5.35698928,False,9.00000000,0.00000000,False,
supervised,10,0.00059344,supervised,10,0.76270536,6.21573953,4.41696731,5.31635342,False,10.00000000,0.00000000,False,
supervised,11,0.00059057,supervised,11,0.72020498,6.16310093,4.37757085,5.27033589,False,11.00000000,0.00000000,False,
supervised,12,0.00058720,supervised,12,0.68095285,6.18075162,4.39126950,5.28601056,False,11.00000000,1.00000000,False,
supervised,13,0.00058331,supervised,13,0.65277599,6.06721553,4.31199980,5.18960766,False,13.00000000,0.00000000,False,
supervised,14,0.00057893,supervised,14,0.62164159,5.95016585,4.23167837,5.09092211,False,14.00000000,0.00000000,False,
supervised,15,0.00057406,supervised,15,0.58684991,5.87768382,4.18431451,5.03099917,False,15.00000000,0.00000000,False,
supervised,16,0.00056871,supervised,16,0.55536822,5.81478803,4.14364410,4.97921606,False,16.00000000,0.00000000,False,
supervised,17,0.00056289,supervised,17,0.54110007,5.76268590,4.10965392,4.93616991,False,17.00000000,0.00000000,False,
supervised,18,0.00055661,supervised,18,0.51394781,5.71774925,4.07903593,4.89839259,False,18.00000000,0.00000000,False,
