cohort,stage,reason,rows,subjects,fraction_of_source_indexed
pulsedb_vital,paired_crop_failure,insufficient_common_samples,2534,1647,0.010540
pulsedb_vital,paired_crop_failure,nonfinite_paired_waveform_crop,1782,1295,0.007412
pulsedb_vital,paired_crop_failure,paired_channel_length_mismatch,1045,887,0.004346
pulsedb_vital,target_formation_failure,aligned_ecg_abp_length_mismatch,790,679,0.003286
pulsedb_vital,target_formation_failure,nonfinite_aligned_ecg_or_abp_crop,1270,1018,0.005282
pulsedb_vital,target_formation_failure,too_few_abp_beats_after_robust_rejection,1399,1092,0.005819
pulsedb_vital,target_formation_failure,too_few_candidate_abp_beats,3988,2124,0.016587
pulsedb_vital,target_formation_failure,too_few_finite_ordered_abp_beats,2084,1457,0.008668
pulsedb_vital,target_formed,target_formed,225536,2714,0.938060
pulsedb_mimic,paired_crop_failure,insufficient_common_samples,2109,1368,0.009976
pulsedb_mimic,paired_crop_failure,nonfinite_paired_waveform_crop,1492,1079,0.007057
pulsedb_mimic,paired_crop_failure,paired_channel_length_mismatch,940,759,0.004446
pulsedb_mimic,target_formation_failure,aligned_ecg_abp_length_mismatch,722,612,0.003415
pulsedb_mimic,target_formation_failure,nonfinite_aligned_ecg_or_abp_crop,1057,857,0.005000
pulsedb_mimic,target_formation_failure,too_few_abp_beats_after_robust_rejection,1139,885,0.005388
pulsedb_mimic,target_formation_failure,too_few_candidate_abp_beats,3434,1733,0.016243
pulsedb_mimic,target_formation_failure,too_few_finite_ordered_abp_beats,1721,1211,0.008140
pulsedb_mimic,target_formed,target_formed,198800,2201,0.940335
mimic_bp,paired_crop_failure,insufficient_common_samples,835,639,0.017744
mimic_bp,paired_crop_failure,nonfinite_paired_waveform_crop,548,460,0.011645
mimic_bp,paired_crop_failure,paired_channel_length_mismatch,397,348,0.008436
mimic_bp,target_formation_failure,invalid_curated_scalar_target,806,626,0.017127
mimic_bp,target_formation_failure,nonfinite_curated_scalar_target,1125,801,0.023906
mimic_bp,target_formation_failure,record_target_pairing_failure,526,433,0.011177
mimic_bp,target_formed,target_formed,42822,1524,0.909964
