model,outer_fold_id,candidate_id,learning_rate,weight_decay,batch_size,dropout,validation_mean_component_mae,selected,selection_unit,outer_test_metrics_available_to_selection
physiocat,1,pcat-delay-v2,0.000600,0.000000,32,0.100000,3.824456,True,fold-local validation subjects,False
physiocat,1,physiocat-grid-b,0.000300,0.000100,32,0.150000,3.949847,False,fold-local validation subjects,False
physiocat,1,physiocat-grid-c,0.000900,0.000500,16,0.100000,4.024459,False,fold-local validation subjects,False
physiocat,2,pcat-delay-v2,0.000600,0.000000,32,0.100000,3.887847,True,fold-local validation subjects,False
physiocat,2,physiocat-grid-b,0.000300,0.000100,32,0.150000,4.012459,False,fold-local validation subjects,False
physiocat,2,physiocat-grid-c,0.000900,0.000500,16,0.100000,4.091246,False,fold-local validation subjects,False
physiocat,3,pcat-delay-v2,0.000600,0.000000,32,0.100000,3.841459,True,fold-local validation subjects,False
physiocat,3,physiocat-grid-b,0.000300,0.000100,32,0.150000,3.970246,False,fold-local validation subjects,False
physiocat,3,physiocat-grid-c,0.000900,0.000500,16,0.100000,4.054324,False,fold-local validation subjects,False
physiocat,4,pcat-delay-v2,0.000600,0.000000,32,0.100000,3.890246,True,fold-local validation subjects,False
physiocat,4,physiocat-grid-b,0.000300,0.000100,32,0.150000,4.024324,False,fold-local validation subjects,False
physiocat,4,physiocat-grid-c,0.000900,0.000500,16,0.100000,4.109942,False,fold-local validation subjects,False
physiocat,5,pcat-delay-v2,0.000600,0.000000,32,0.100000,3.850324,True,fold-local validation subjects,False
physiocat,5,physiocat-grid-b,0.000300,0.000100,32,0.150000,3.985942,False,fold-local validation subjects,False
physiocat,5,physiocat-grid-c,0.000900,0.000500,16,0.100000,4.067936,False,fold-local validation subjects,False
matched_no_delay,1,pcat-nodelay-v2,0.000600,0.000000,32,0.100000,4.384459,True,fold-local validation subjects,False
matched_no_delay,1,matched_no_delay-grid-b,0.000300,0.000100,32,0.150000,4.517324,False,fold-local validation subjects,False
matched_no_delay,1,matched_no_delay-grid-c,0.000900,0.000500,16,0.100000,4.604936,False,fold-local validation subjects,False
matched_no_delay,2,pcat-nodelay-v2,0.000600,0.000000,32,0.100000,4.455324,True,fold-local validation subjects,False
matched_no_delay,2,matched_no_delay-grid-b,0.000300,0.000100,32,0.150000,4.592936,False,fold-local validation subjects,False
matched_no_delay,2,matched_no_delay-grid-c,0.000900,0.000500,16,0.100000,4.663736,False,fold-local validation subjects,False
matched_no_delay,3,pcat-nodelay-v2,0.000600,0.000000,32,0.100000,4.421936,True,fold-local validation subjects,False
matched_no_delay,3,matched_no_delay-grid-b,0.000300,0.000100,32,0.150000,4.542736,False,fold-local validation subjects,False
matched_no_delay,3,matched_no_delay-grid-c,0.000900,0.000500,16,0.100000,4.622781,False,fold-local validation subjects,False
matched_no_delay,4,pcat-nodelay-v2,0.000600,0.000000,32,0.100000,4.462736,True,fold-local validation subjects,False
matched_no_delay,4,matched_no_delay-grid-b,0.000300,0.000100,32,0.150000,4.592781,False,fold-local validation subjects,False
matched_no_delay,4,matched_no_delay-grid-c,0.000900,0.000500,16,0.100000,4.681944,False,fold-local validation subjects,False
matched_no_delay,5,pcat-nodelay-v2,0.000600,0.000000,32,0.100000,4.418781,True,fold-local validation subjects,False
matched_no_delay,5,matched_no_delay-grid-b,0.000300,0.000100,32,0.150000,4.557944,False,fold-local validation subjects,False
matched_no_delay,5,matched_no_delay-grid-c,0.000900,0.000500,16,0.100000,4.630273,False,fold-local validation subjects,False
mufubp_net,1,mufu-v1,0.000300,0.000100,64,0.100000,4.257324,True,fold-local validation subjects,False
mufubp_net,1,mufubp_net-grid-b,0.000150,0.000100,64,0.150000,4.391473,False,fold-local validation subjects,False
mufubp_net,1,mufubp_net-grid-c,0.000450,0.000500,32,0.100000,4.465781,False,fold-local validation subjects,False
mufubp_net,2,mufu-v1,0.000300,0.000100,64,0.100000,4.329473,True,fold-local validation subjects,False
mufubp_net,2,mufubp_net-grid-b,0.000150,0.000100,64,0.150000,4.453781,False,fold-local validation subjects,False
mufubp_net,2,mufubp_net-grid-c,0.000450,0.000500,32,0.100000,4.540902,False,fold-local validation subjects,False
mufubp_net,3,mufu-v1,0.000300,0.000100,64,0.100000,4.282781,True,fold-local validation subjects,False
mufubp_net,3,mufubp_net-grid-b,0.000150,0.000100,64,0.150000,4.419902,False,fold-local validation subjects,False
mufubp_net,3,mufubp_net-grid-c,0.000450,0.000500,32,0.100000,4.491494,False,fold-local validation subjects,False
mufubp_net,4,mufu-v1,0.000300,0.000100,64,0.100000,4.339902,True,fold-local validation subjects,False
