configuration_id,model,analysis_role,evaluation_scope,completed_runs,outer_folds,median_selected_epoch,median_stopped_epoch,mean_selected_validation_mae,mean_outer_test_mae,mean_validation_test_gap,total_gpu_hours,median_wall_clock_hours,released_representative_checkpoints
bpnet-v1,bp_net,five-fold subject-grouped primary model comparison,complete five-fold subject-grouped out-of-fold evaluation,5,5,24.000000,36.000000,5.134101,5.124997,0.009104,28.559754,5.531906,0
cnnbilstm-v1,cnn_bilstm,five-fold subject-grouped primary model comparison,complete five-fold subject-grouped out-of-fold evaluation,5,5,22.000000,34.000000,5.337469,5.354207,-0.016738,5.917715,1.118872,0
delay_120_300-v3,delay_120_300,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,5,5,35.000000,47.000000,3.907036,3.912508,-0.005472,14.782508,3.023707,0
delay_120_350-v3,delay_120_350,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,5,5,35.000000,47.000000,3.809858,3.809127,0.000731,14.650296,2.936183,0
delay_80_550-v3,delay_80_550,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,5,5,38.000000,50.000000,3.857372,3.831109,0.026263,15.698343,3.147961,0
direction_agnostic_local-v3,direction_agnostic_local,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,5,5,28.000000,40.000000,4.473127,4.471857,0.001269,14.073402,2.520101,0
early_concat-v3,early_concat,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,5,5,32.000000,44.000000,4.951129,4.918087,0.033042,13.798072,2.823672,0
ecg_only-v3,ecg_only,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,5,5,27.000000,39.000000,7.155545,7.136771,0.018775,11.788460,2.377675,0
gated_fusion-v3,gated_fusion,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,5,5,30.000000,42.000000,4.841163,4.859684,-0.018521,14.110273,2.760451,0
late_average-v3,late_average,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,5,5,28.000000,40.000000,5.082755,5.088472,-0.005717,13.094789,2.718486,0
