cohort,model,outcome,weighting,estimate,ci_low,ci_high,bootstrap_reps
pulsedb_vital,physiocat,SBP,window,4.263173,4.233192,4.292763,2000
pulsedb_vital,physiocat,SBP,subject,4.269694,4.239991,4.299678,2000
pulsedb_vital,physiocat,DBP,window,3.108044,3.088060,3.129028,2000
pulsedb_vital,physiocat,DBP,subject,3.117848,3.098037,3.138533,2000
pulsedb_vital,matched_no_delay,SBP,window,5.250650,5.202382,5.303373,2000
pulsedb_vital,matched_no_delay,SBP,subject,5.282980,5.234577,5.335458,2000
pulsedb_vital,matched_no_delay,DBP,window,3.512501,3.481098,3.543744,2000
pulsedb_vital,matched_no_delay,DBP,subject,3.534853,3.502082,3.566678,2000
pulsedb_vital,mufubp_net,SBP,window,5.104964,5.053883,5.159776,2000
pulsedb_vital,mufubp_net,SBP,subject,5.139882,5.087891,5.195614,2000
pulsedb_vital,mufubp_net,DBP,window,3.378071,3.346530,3.409360,2000
pulsedb_vital,mufubp_net,DBP,subject,3.398880,3.368063,3.428981,2000
pulsedb_vital,te_sagru,SBP,window,5.532688,5.480300,5.584486,2000
pulsedb_vital,te_sagru,SBP,subject,5.578344,5.526037,5.630524,2000
pulsedb_vital,te_sagru,DBP,window,3.703206,3.670360,3.736468,2000
pulsedb_vital,te_sagru,DBP,subject,3.732076,3.698983,3.766935,2000
pulsedb_vital,bp_net,SBP,window,6.076556,6.015318,6.135105,2000
pulsedb_vital,bp_net,SBP,subject,6.133886,6.073792,6.193289,2000
pulsedb_vital,bp_net,DBP,window,4.173955,4.136079,4.211724,2000
pulsedb_vital,bp_net,DBP,subject,4.203338,4.165053,4.242829,2000
pulsedb_vital,cnn_bilstm,SBP,window,6.366310,6.309411,6.424521,2000
pulsedb_vital,cnn_bilstm,SBP,subject,6.401218,6.344358,6.458965,2000
pulsedb_vital,cnn_bilstm,DBP,window,4.342654,4.305647,4.381750,2000
pulsedb_vital,cnn_bilstm,DBP,subject,4.377319,4.339305,4.417540,2000
pulsedb_vital,random_forest,SBP,window,8.324309,8.250711,8.401054,2000
pulsedb_vital,random_forest,SBP,subject,8.376982,8.297240,8.453805,2000
pulsedb_vital,random_forest,DBP,window,5.198895,5.158455,5.240290,2000
pulsedb_vital,random_forest,DBP,subject,5.236284,5.192178,5.284214,2000
pulsedb_vital,pat_ridge,SBP,window,9.516535,9.443171,9.594856,2000
pulsedb_vital,pat_ridge,SBP,subject,9.583306,9.508452,9.661193,2000
pulsedb_vital,pat_ridge,DBP,window,6.064586,6.013257,6.112542,2000
pulsedb_vital,pat_ridge,DBP,subject,6.102410,6.050091,6.150964,2000
pulsedb_mimic,physiocat,SBP,window,4.949931,4.907849,4.996466,2000
pulsedb_mimic,physiocat,SBP,subject,4.981157,4.938041,5.024729,2000
pulsedb_mimic,physiocat,DBP,window,3.517261,3.493223,3.543216,2000
pulsedb_mimic,physiocat,DBP,subject,3.539653,3.512729,3.567478,2000
pulsedb_mimic,matched_no_delay,SBP,window,6.401886,6.329411,6.477507,2000
pulsedb_mimic,matched_no_delay,SBP,subject,6.457776,6.383505,6.531873,2000
pulsedb_mimic,matched_no_delay,DBP,window,4.204942,4.163634,4.248734,2000
pulsedb_mimic,matched_no_delay,DBP,subject,4.240114,4.196074,4.290283,2000
pulsedb_mimic,mufubp_net,SBP,window,6.149248,6.076656,6.215774,2000
pulsedb_mimic,mufubp_net,SBP,subject,6.214140,6.142560,6.279042,2000
pulsedb_mimic,mufubp_net,DBP,window,4.119133,4.073211,4.164130,2000
pulsedb_mimic,mufubp_net,DBP,subject,4.135391,4.090958,4.178872,2000
mimic_bp,physiocat,SBP,window,4.825622,4.766298,4.888858,2000
mimic_bp,physiocat,SBP,subject,4.830540,4.771640,4.895428,2000
mimic_bp,physiocat,DBP,window,3.410540,3.370696,3.450050,2000
mimic_bp,physiocat,DBP,subject,3.417500,3.377831,3.456741,2000
mimic_bp,matched_no_delay,SBP,window,6.449049,6.355546,6.542233,2000
mimic_bp,matched_no_delay,SBP,subject,6.447271,6.352195,6.540506,2000
mimic_bp,matched_no_delay,DBP,window,4.224262,4.168570,4.280279,2000
mimic_bp,matched_no_delay,DBP,subject,4.233544,4.178184,4.289309,2000
mimic_bp,mufubp_net,SBP,window,5.958611,5.876379,6.041796,2000
mimic_bp,mufubp_net,SBP,subject,5.976814,5.892155,6.059851,2000
mimic_bp,mufubp_net,DBP,window,4.033720,3.977782,4.088819,2000
mimic_bp,mufubp_net,DBP,subject,4.033207,3.976598,4.086952,2000
