coverage,outcome,mae,n_windows,uncertainty_threshold
0.500000,SBP,4.194421,93126,0.353132
0.500000,DBP,2.960301,93126,0.353132
0.550000,SBP,4.204662,102439,0.372044
0.550000,DBP,2.975442,102439,0.372044
0.600000,SBP,4.211010,111751,0.391526
0.600000,DBP,2.988944,111751,0.391526
0.650000,SBP,4.216310,121064,0.410864
0.650000,DBP,3.001768,121064,0.410864
0.700000,SBP,4.222995,130376,0.431375
0.700000,DBP,3.013737,130376,0.431375
0.750000,SBP,4.226291,139689,0.453407
0.750000,DBP,3.028869,139689,0.453407
0.800000,SBP,4.230527,149001,0.477209
0.800000,DBP,3.043140,149001,0.477209
0.850000,SBP,4.236881,158314,0.504483
0.850000,DBP,3.056190,158314,0.504483
0.900000,SBP,4.242666,167626,0.537206
0.900000,DBP,3.072994,167626,0.537206
0.950000,SBP,4.250968,176939,0.584349
0.950000,DBP,3.087280,176939,0.584349
1.000000,SBP,4.263173,186252,0.861800
1.000000,DBP,3.108044,186252,0.861800
