me,mae,sde,rmse,pearson_r,within_5_pct,within_10_pct,within_15_pct,cohort,model,display_name,outcome,n_windows,n_subjects
0.094370,4.949931,6.407147,6.407822,0.909687,59.845829,88.842930,97.373880,pulsedb_mimic,physiocat,PhysioCAT,SBP,164882,2201
-0.023481,3.517261,4.517341,4.517389,0.892282,75.141616,96.764353,99.676132,pulsedb_mimic,physiocat,PhysioCAT,DBP,164882,2201
0.218670,6.401886,8.359342,8.362177,0.844066,49.134533,79.390716,92.719035,pulsedb_mimic,matched_no_delay,Matched no-delay cross-attention,SBP,164882,2201
0.115326,4.204942,5.453355,5.454557,0.845409,67.285695,93.153892,98.783979,pulsedb_mimic,matched_no_delay,Matched no-delay cross-attention,DBP,164882,2201
-0.029611,6.149248,8.073729,8.073759,0.856311,51.094116,81.062821,93.469875,pulsedb_mimic,mufubp_net,MuFuBP-Net,SBP,164882,2201
0.145889,4.119133,5.383299,5.385260,0.848077,68.524157,93.438338,98.780340,pulsedb_mimic,mufubp_net,MuFuBP-Net,DBP,164882,2201
0.118827,4.825622,6.191537,6.192599,0.916817,60.595473,89.779229,97.941668,mimic_bp,physiocat,PhysioCAT,SBP,39498,1524
0.014811,3.410540,4.348125,4.348096,0.897622,76.115246,97.498608,99.805053,mimic_bp,physiocat,PhysioCAT,DBP,39498,1524
0.145557,6.449049,8.412007,8.413160,0.846713,48.873361,79.206542,92.564180,mimic_bp,matched_no_delay,Matched no-delay cross-attention,SBP,39498,1524
0.054602,4.224262,5.483007,5.483210,0.843308,67.061623,93.105980,98.716391,mimic_bp,matched_no_delay,Matched no-delay cross-attention,DBP,39498,1524
-0.079370,5.958611,7.703724,7.704035,0.870584,51.792496,82.249734,94.442757,mimic_bp,mufubp_net,MuFuBP-Net,SBP,39498,1524
0.128068,4.033720,5.216323,5.217829,0.855779,69.289584,94.293382,98.989822,mimic_bp,mufubp_net,MuFuBP-Net,DBP,39498,1524
