evaluation_scope,source_seed,model,outcome,subjects,windows,window_mae,subject_mae,mean_error,source_training_subjects,source_validation_subjects,target_tuning
pulsedb_vital_source_validation,42,physiocat,SBP,272,18769,4.320227,4.339573,0.155396,2442,272,False
pulsedb_vital_source_validation,42,physiocat,DBP,272,18769,3.055137,3.062489,0.203084,2442,272,False
pulsedb_vital_source_validation,42,matched_no_delay,SBP,272,18769,5.406931,5.487368,0.117144,2442,272,False
pulsedb_vital_source_validation,42,matched_no_delay,DBP,272,18769,3.527009,3.557605,0.093459,2442,272,False
pulsedb_vital_source_validation,42,mufubp_net,SBP,272,18769,5.001594,4.996500,-0.082127,2442,272,False
pulsedb_vital_source_validation,42,mufubp_net,DBP,272,18769,3.406968,3.404677,0.240738,2442,272,False
pulsedb_vital_source_validation,1337,physiocat,SBP,272,18769,4.246643,4.276053,0.142791,2442,272,False
pulsedb_vital_source_validation,1337,physiocat,DBP,272,18769,3.141580,3.149099,0.270785,2442,272,False
pulsedb_vital_source_validation,1337,matched_no_delay,SBP,272,18769,5.238215,5.241260,0.150033,2442,272,False
pulsedb_vital_source_validation,1337,matched_no_delay,DBP,272,18769,3.609668,3.592802,0.111409,2442,272,False
pulsedb_vital_source_validation,1337,mufubp_net,SBP,272,18769,5.032110,5.041800,-0.161753,2442,272,False
pulsedb_vital_source_validation,1337,mufubp_net,DBP,272,18769,3.349921,3.362941,0.158344,2442,272,False
pulsedb_vital_source_validation,2025,physiocat,SBP,272,18769,4.318733,4.369563,0.133194,2442,272,False
pulsedb_vital_source_validation,2025,physiocat,DBP,272,18769,3.073927,3.108449,0.178891,2442,272,False
pulsedb_vital_source_validation,2025,matched_no_delay,SBP,272,18769,5.443311,5.460113,0.143413,2442,272,False
pulsedb_vital_source_validation,2025,matched_no_delay,DBP,272,18769,3.677661,3.660248,0.027216,2442,272,False
pulsedb_vital_source_validation,2025,mufubp_net,SBP,272,18769,5.106906,5.135557,0.009080,2442,272,False
pulsedb_vital_source_validation,2025,mufubp_net,DBP,272,18769,3.432037,3.475705,0.164671,2442,272,False
pulsedb_mimic,42,physiocat,SBP,2201,164882,4.949931,4.981157,0.094370,2442,272,False
pulsedb_mimic,42,physiocat,DBP,2201,164882,3.517261,3.539653,-0.023481,2442,272,False
pulsedb_mimic,42,matched_no_delay,SBP,2201,164882,6.401886,6.457776,0.218670,2442,272,False
pulsedb_mimic,42,matched_no_delay,DBP,2201,164882,4.204942,4.240114,0.115326,2442,272,False
pulsedb_mimic,42,mufubp_net,SBP,2201,164882,6.149248,6.214140,-0.029611,2442,272,False
pulsedb_mimic,42,mufubp_net,DBP,2201,164882,4.119133,4.135391,0.145889,2442,272,False
pulsedb_mimic,1337,physiocat,SBP,2201,164882,4.923112,4.952858,0.066005,2442,272,False
pulsedb_mimic,1337,physiocat,DBP,2201,164882,3.543003,3.571140,-0.007452,2442,272,False
pulsedb_mimic,1337,matched_no_delay,SBP,2201,164882,6.389397,6.433644,0.134246,2442,272,False
pulsedb_mimic,1337,matched_no_delay,DBP,2201,164882,4.161229,4.195530,0.101458,2442,272,False
