evaluation_scope,model,outcome,source_seeds,subjects,windows,window_mae_mean,window_mae_sd,window_mae_min,window_mae_max,subject_mae_mean,subject_mae_sd
mimic_bp,matched_no_delay,DBP,3,1524,39498,4.217066,0.014472,4.200407,4.226529,4.224606,0.016415
mimic_bp,matched_no_delay,SBP,3,1524,39498,6.427296,0.070755,6.348219,6.484621,6.436434,0.073630
mimic_bp,mufubp_net,DBP,3,1524,39498,4.045037,0.034564,4.017549,4.083841,4.049093,0.032902
mimic_bp,mufubp_net,SBP,3,1524,39498,6.001252,0.041868,5.958611,6.042301,6.011301,0.033486
mimic_bp,physiocat,DBP,3,1524,39498,3.411966,0.012407,3.400334,3.425024,3.419138,0.011690
mimic_bp,physiocat,SBP,3,1524,39498,4.809165,0.029499,4.775109,4.826765,4.823622,0.023225
pulsedb_mimic,matched_no_delay,DBP,3,2201,164882,4.192074,0.026834,4.161229,4.210049,4.227205,0.027588
pulsedb_mimic,matched_no_delay,SBP,3,2201,164882,6.410184,0.025951,6.389397,6.439269,6.472102,0.047278
pulsedb_mimic,mufubp_net,DBP,3,2201,164882,4.115809,0.023664,4.090660,4.137636,4.147480,0.024229
pulsedb_mimic,mufubp_net,SBP,3,2201,164882,6.154372,0.024069,6.133278,6.180590,6.196876,0.032208
pulsedb_mimic,physiocat,DBP,3,2201,164882,3.541695,0.023807,3.517261,3.564822,3.565173,0.023121
pulsedb_mimic,physiocat,SBP,3,2201,164882,4.958631,0.040575,4.923112,5.002851,4.991537,0.044781
pulsedb_vital_source_validation,matched_no_delay,DBP,3,272,18769,3.604779,0.075445,3.527009,3.677661,3.603552,0.052159
pulsedb_vital_source_validation,matched_no_delay,SBP,3,272,18769,5.362819,0.109432,5.238215,5.443311,5.396247,0.134913
pulsedb_vital_source_validation,mufubp_net,DBP,3,272,18769,3.396309,0.042083,3.349921,3.432037,3.414441,0.057013
pulsedb_vital_source_validation,mufubp_net,SBP,3,272,18769,5.046870,0.054185,5.001594,5.106906,5.057952,0.070922
pulsedb_vital_source_validation,physiocat,DBP,3,272,18769,3.090215,0.045465,3.055137,3.141580,3.106679,0.043332
pulsedb_vital_source_validation,physiocat,SBP,3,272,18769,4.295201,0.042059,4.246643,4.320227,4.328396,0.047746
