control,mask_kind,branch,control_class,nominal_band_ms,realized_token_offsets,allowed_edges,matrix_edges,active_query_rows,empty_query_rows,min_edges_per_active_query,max_edges_per_active_query,unique_edges_per_query,query_support_sha256,active_key_columns,empty_key_columns,min_edges_per_active_key,max_edges_per_active_key,unique_edges_per_key,key_support_sha256,realized_edge_density,density_reference_edges,negative_offset_edges,zero_offset_edges,positive_offset_edges,mean_signed_offset_tokens,reciprocal_transpose_match,exact_per_query_density_match,exact_bipartite_degree_match
Default ECG-leading band,delay_asymmetric,ECG_query_PPG_key_value,reference,analysis-grid patch support 132--444 within declared 120--450,"3,4,5,6",482,15625,122,3,1,4,0|1|2|3|4,12c91a9e41c6fd99934d2a777fb03e57c24d6f2aa7e83074b35525cf73ed4845,122,3,1,4,0|1|2|3|4,39c7dc41df673a47c07d2b08da5fd6054ea90a0df039db70c75fa53dcfddb29a,0.030848,482,0,0,482,4.489627,True,True,True
Default ECG-leading band,delay_asymmetric,PPG_query_ECG_key_value,reference,analysis-grid patch support 132--444 within declared 120--450,"3,4,5,6",482,15625,122,3,1,4,0|1|2|3|4,39c7dc41df673a47c07d2b08da5fd6054ea90a0df039db70c75fa53dcfddb29a,122,3,1,4,0|1|2|3|4,12c91a9e41c6fd99934d2a777fb03e57c24d6f2aa7e83074b35525cf73ed4845,0.030848,482,482,0,0,-4.489627,True,True,True
Same-width shifted band,shifted,ECG_query_PPG_key_value,common_support_location_control,analysis-grid patch support 516--828,"9,10,11,12",452,15625,113,12,4,4,0|4,3b40cf47c755c5ca5f9fb48cc734d109f88e0a6f340d5437150b1c81aea123f4,116,9,1,4,0|1|2|3|4,cb06fa2495c5191d3654a21f82f88585190e1c6c01da087bb00a6ab97bd0a24c,0.028928,482,0,0,452,10.500000,True,False,False
Same-width shifted band,shifted,PPG_query_ECG_key_value,common_support_location_control,analysis-grid patch support 516--828,"9,10,11,12",452,15625,116,9,1,4,0|1|2|3|4,cb06fa2495c5191d3654a21f82f88585190e1c6c01da087bb00a6ab97bd0a24c,113,12,4,4,0|4,3b40cf47c755c5ca5f9fb48cc734d109f88e0a6f340d5437150b1c81aea123f4,0.028928,482,452,0,0,-10.500000,True,False,False
Zero-centered nonzero local mask,local,ECG_query_PPG_key_value,direction_agnostic_local,strictly local around zero lag,"-2,-1,+1,+2",494,15625,125,0,2,4,2|3|4,7d2f26b71987e664ce0032ac914061a79f4f372c3450a6e1b0a935178e21903f,125,0,2,4,2|3|4,7d2f26b71987e664ce0032ac914061a79f4f372c3450a6e1b0a935178e21903f,0.031616,482,247,0,247,0.000000,True,False,False
Zero-centered nonzero local mask,local,PPG_query_ECG_key_value,direction_agnostic_local,strictly local around zero lag,"-2,-1,+1,+2",494,15625,125,0,2,4,2|3|4,7d2f26b71987e664ce0032ac914061a79f4f372c3450a6e1b0a935178e21903f,125,0,2,4,2|3|4,7d2f26b71987e664ce0032ac914061a79f4f372c3450a6e1b0a935178e21903f,0.031616,482,247,0,247,0.000000,True,False,False
Degree-preserving random rewiring,random,ECG_query_PPG_key_value,bipartite_degree_matched,none,double-edge swaps,482,15625,122,3,1,4,0|1|2|3|4,12c91a9e41c6fd99934d2a777fb03e57c24d6f2aa7e83074b35525cf73ed4845,122,3,1,4,0|1|2|3|4,39c7dc41df673a47c07d2b08da5fd6054ea90a0df039db70c75fa53dcfddb29a,0.030848,482,226,7,249,4.489627,True,True,True
Degree-preserving random rewiring,random,PPG_query_ECG_key_value,bipartite_degree_matched,none,double-edge swaps,482,15625,122,3,1,4,0|1|2|3|4,39c7dc41df673a47c07d2b08da5fd6054ea90a0df039db70c75fa53dcfddb29a,122,3,1,4,0|1|2|3|4,12c91a9e41c6fd99934d2a777fb03e57c24d6f2aa7e83074b35525cf73ed4845,0.030848,482,249,7,226,-4.489627,True,True,True
PPG-leading mirror delay band,mirror,ECG_query_PPG_key_value,direction_control,token-centre lags -384 to -192,exact sign-reversed default offsets,482,15625,122,3,1,4,0|1|2|3|4,39c7dc41df673a47c07d2b08da5fd6054ea90a0df039db70c75fa53dcfddb29a,122,3,1,4,0|1|2|3|4,12c91a9e41c6fd99934d2a777fb03e57c24d6f2aa7e83074b35525cf73ed4845,0.030848,482,482,0,0,-4.489627,True,False,False
PPG-leading mirror delay band,mirror,PPG_query_ECG_key_value,direction_control,token-centre lags -384 to -192,exact sign-reversed default offsets,482,15625,122,3,1,4,0|1|2|3|4,12c91a9e41c6fd99934d2a777fb03e57c24d6f2aa7e83074b35525cf73ed4845,122,3,1,4,0|1|2|3|4,39c7dc41df673a47c07d2b08da5fd6054ea90a0df039db70c75fa53dcfddb29a,0.030848,482,0,0,482,4.489627,True,False,False
Matched no-delay control,no_delay,ECG_query_PPG_key_value,capacity_control,unrestricted keys,all,15250,15625,122,3,125,125,0|125,12c91a9e41c6fd99934d2a777fb03e57c24d6f2aa7e83074b35525cf73ed4845,125,0,122,122,122,7d2f26b71987e664ce0032ac914061a79f4f372c3450a6e1b0a935178e21903f,0.976000,482,7381,122,7747,1.500000,False,False,False
Matched no-delay control,no_delay,PPG_query_ECG_key_value,capacity_control,unrestricted keys,all,15250,15625,122,3,125,125,0|125,39c7dc41df673a47c07d2b08da5fd6054ea90a0df039db70c75fa53dcfddb29a,125,0,122,122,122,7d2f26b71987e664ce0032ac914061a79f4f372c3450a6e1b0a935178e21903f,0.976000,482,7747,122,7381,-1.500000,False,False,False
