seed,outcome,window_weighted_mae,subject_weighted_mae
82000,SBP,5.631732,5.656081
82000,DBP,3.646451,3.659900
82001,SBP,5.669498,5.699638
82001,DBP,3.634384,3.652488
82002,SBP,5.708069,5.747145
82002,DBP,3.680078,3.695987
82003,SBP,5.624044,5.663056
82003,DBP,3.672118,3.683327
82004,SBP,5.585376,5.611996
82004,DBP,3.632799,3.655793
82005,SBP,5.566010,5.598083
82005,DBP,3.607162,3.618081
82006,SBP,5.635771,5.668548
82006,DBP,3.570351,3.588844
82007,SBP,5.707432,5.746542
82007,DBP,3.586040,3.604112
82008,SBP,5.667860,5.712004
82008,DBP,3.586154,3.606516
82009,SBP,5.704282,5.730384
82009,DBP,3.633763,3.652697
82010,SBP,5.582315,5.603020
82010,DBP,3.653052,3.674563
82011,SBP,5.558184,5.587266
82011,DBP,3.688405,3.706080
82012,SBP,5.619026,5.656072
82012,DBP,3.667801,3.680425
82013,SBP,5.618317,5.663702
82013,DBP,3.662181,3.673924
82014,SBP,5.712318,5.752263
82014,DBP,3.585251,3.610061
82015,SBP,5.674909,5.703689
82015,DBP,3.552249,3.571384
82016,SBP,5.664267,5.685017
82016,DBP,3.598036,3.608288
82017,SBP,5.591894,5.630414
82017,DBP,3.569515,3.592688
82018,SBP,5.564670,5.604571
82018,DBP,3.609413,3.621203
82019,SBP,5.678803,5.709394
82019,DBP,3.648557,3.661517
