outcome,reference_stratum,n_windows,n_subjects,reference_mean,prediction_mean,mean_error,mae,sde
SBP,<90,963,726,83.247527,85.537214,2.289687,4.736380,5.669079
SBP,90--109,20100,2377,104.297297,105.558925,1.261628,4.418953,5.531955
SBP,110--129,92927,2709,120.969630,121.404252,0.434621,4.195032,5.375079
SBP,130--149,62871,2693,137.732725,137.352250,-0.380475,4.264722,5.474947
SBP,150--179,8834,2137,157.526498,156.208973,-1.317525,4.493764,5.625292
SBP,>=180,557,478,189.402779,186.431652,-2.971127,5.359777,6.204637
DBP,<50,1666,1139,47.007129,48.385278,1.378149,3.411219,4.074159
DBP,50--69,104763,2711,63.090574,63.550907,0.460333,3.134314,3.984929
DBP,70--89,76282,2709,76.329615,76.124040,-0.205574,3.051471,3.903669
DBP,90--109,3133,1662,95.559962,94.438359,-1.121604,3.360336,4.145727
DBP,>=110,408,373,118.536854,116.537462,-1.999392,3.764594,4.385385
