control,model,control_scope,configuration_registry_sha256,protocol_control,protocol_artifact,protocol_artifact_sha256,perturbation_seed,prediction_column,prediction_rows,subject_statistic_rows,prediction_rows_sha256,prediction_artifact,prediction_artifact_sha256
unperturbed reference,physiocat,released counterfactual prediction columns bound to the fixed configuration registry and artifact hashes,dff8a4bf86c37ddaaaba2b4bd61ee69a05efe60033d8c7fd5c4835dfa1704dc2,,,,,physiocat_unperturbed,186252,5428.000000,0eb11c4c5f9b9d766f95788892bff0e17afb538b37fd42565bf223c7041915d7,artifacts/predictions/negative_control_subject_statistics.csv.gz,1dceefce749aab0d0ad6f5c974b91b085537852ad698ac6f6faac942da45bee9
Cross-subject ECG-PPG pairing,physiocat,released counterfactual prediction columns bound to the fixed configuration registry and artifact hashes,dff8a4bf86c37ddaaaba2b4bd61ee69a05efe60033d8c7fd5c4835dfa1704dc2,cross_subject_pairing,artifacts/protocol/timing_perturbation_protocol.csv,07e4e53aceec6bdfd22ee5884e33dba5a0d253852b21c6beee6fb38caeabb7a4,160001.000000,physiocat_cross_subject,186252,5428.000000,86b37b68c76fc5e2cf1e57d4e07e36d7a54ae52aa41673565b612d7747fedd2d,artifacts/predictions/negative_control_subject_statistics.csv.gz,1dceefce749aab0d0ad6f5c974b91b085537852ad698ac6f6faac942da45bee9
Implausible delay mask,physiocat,released counterfactual prediction columns bound to the fixed configuration registry and artifact hashes,dff8a4bf86c37ddaaaba2b4bd61ee69a05efe60033d8c7fd5c4835dfa1704dc2,implausible_delay_mask,artifacts/protocol/timing_perturbation_protocol.csv,07e4e53aceec6bdfd22ee5884e33dba5a0d253852b21c6beee6fb38caeabb7a4,,physiocat_implausible,186252,5428.000000,b2ddf276b9fa3c8369a84e9549649cbafd7d48aeebf0b73b0ad839400de3a7ae,artifacts/predictions/negative_control_subject_statistics.csv.gz,1dceefce749aab0d0ad6f5c974b91b085537852ad698ac6f6faac942da45bee9
PPG time reversal,physiocat,released counterfactual prediction columns bound to the fixed configuration registry and artifact hashes,dff8a4bf86c37ddaaaba2b4bd61ee69a05efe60033d8c7fd5c4835dfa1704dc2,ppg_time_reversal,artifacts/protocol/timing_perturbation_protocol.csv,07e4e53aceec6bdfd22ee5884e33dba5a0d253852b21c6beee6fb38caeabb7a4,,physiocat_reversal,186252,5428.000000,a8b64d78e8d9ca913b7d5586ec97f839032802394b46e4c8cb35e9534282dba0,artifacts/predictions/negative_control_subject_statistics.csv.gz,1dceefce749aab0d0ad6f5c974b91b085537852ad698ac6f6faac942da45bee9
Token-aligned circular PPG shift,physiocat,released counterfactual prediction columns bound to the fixed configuration registry and artifact hashes,dff8a4bf86c37ddaaaba2b4bd61ee69a05efe60033d8c7fd5c4835dfa1704dc2,token_aligned_ppg_shift,artifacts/protocol/timing_perturbation_protocol.csv,07e4e53aceec6bdfd22ee5884e33dba5a0d253852b21c6beee6fb38caeabb7a4,160000.000000,physiocat_token_shift,186252,5428.000000,7b99bb25365dfcce2f75d96b1b643a0d552095cb2901b4b07ffef17730289b78,artifacts/predictions/negative_control_subject_statistics.csv.gz,1dceefce749aab0d0ad6f5c974b91b085537852ad698ac6f6faac942da45bee9
unperturbed reference,matched_no_delay,released counterfactual prediction columns bound to the fixed configuration registry and artifact hashes,dff8a4bf86c37ddaaaba2b4bd61ee69a05efe60033d8c7fd5c4835dfa1704dc2,,,,,no_delay_unperturbed,186252,5428.000000,f8fe187a7b9a70aba1b56c32b260d1043016694845f56f781c86ba028f6605e6,artifacts/predictions/negative_control_subject_statistics.csv.gz,1dceefce749aab0d0ad6f5c974b91b085537852ad698ac6f6faac942da45bee9
Cross-subject ECG-PPG pairing,matched_no_delay,released counterfactual prediction columns bound to the fixed configuration registry and artifact hashes,dff8a4bf86c37ddaaaba2b4bd61ee69a05efe60033d8c7fd5c4835dfa1704dc2,cross_subject_pairing,artifacts/protocol/timing_perturbation_protocol.csv,07e4e53aceec6bdfd22ee5884e33dba5a0d253852b21c6beee6fb38caeabb7a4,160001.000000,no_delay_cross_subject,186252,5428.000000,be1d817839edbfaa4fdd2a7884607deb922aca34b6e9a0aa32c0c2f4ccb534b2,artifacts/predictions/negative_control_subject_statistics.csv.gz,1dceefce749aab0d0ad6f5c974b91b085537852ad698ac6f6faac942da45bee9
Implausible delay mask,matched_no_delay,released counterfactual prediction columns bound to the fixed configuration registry and artifact hashes,dff8a4bf86c37ddaaaba2b4bd61ee69a05efe60033d8c7fd5c4835dfa1704dc2,implausible_delay_mask,artifacts/protocol/timing_perturbation_protocol.csv,07e4e53aceec6bdfd22ee5884e33dba5a0d253852b21c6beee6fb38caeabb7a4,,no_delay_implausible,186252,5428.000000,3a2fe7961d6c98bfed412aa5c7ff2ce59b51c881f02f6cf1a123ff84003d2f0a,artifacts/predictions/negative_control_subject_statistics.csv.gz,1dceefce749aab0d0ad6f5c974b91b085537852ad698ac6f6faac942da45bee9
PPG time reversal,matched_no_delay,released counterfactual prediction columns bound to the fixed configuration registry and artifact hashes,dff8a4bf86c37ddaaaba2b4bd61ee69a05efe60033d8c7fd5c4835dfa1704dc2,ppg_time_reversal,artifacts/protocol/timing_perturbation_protocol.csv,07e4e53aceec6bdfd22ee5884e33dba5a0d253852b21c6beee6fb38caeabb7a4,,no_delay_reversal,186252,5428.000000,e8d055926353aa1c816ef801ad7146b1ba363268fa561bb817160d5d6d0f136c,artifacts/predictions/negative_control_subject_statistics.csv.gz,1dceefce749aab0d0ad6f5c974b91b085537852ad698ac6f6faac942da45bee9
Token-aligned circular PPG shift,matched_no_delay,released counterfactual prediction columns bound to the fixed configuration registry and artifact hashes,dff8a4bf86c37ddaaaba2b4bd61ee69a05efe60033d8c7fd5c4835dfa1704dc2,token_aligned_ppg_shift,artifacts/protocol/timing_perturbation_protocol.csv,07e4e53aceec6bdfd22ee5884e33dba5a0d253852b21c6beee6fb38caeabb7a4,160000.000000,no_delay_token_shift,186252,5428.000000,a49839549225949a71d6cc6f9191eb1e56054cdfc86e2ef8fcff1e47d1c24143,artifacts/predictions/negative_control_subject_statistics.csv.gz,1dceefce749aab0d0ad6f5c974b91b085537852ad698ac6f6faac942da45bee9
