group_type,pat_group,model,display_name,outcome,subjects,windows,mae,mae_reduction_vs_physiocat,subject_paired_ci_low,subject_paired_ci_high,rank_biserial_effect,bootstrap_reps
primary,PAT detected: 120--450 ms,physiocat,PhysioCAT,SBP,2714,173379,4.213617,0.000000,0.000000,0.000000,0.000000,2000
primary,PAT detected: 120--450 ms,matched_no_delay,Matched no-delay,SBP,2714,173379,5.226859,1.013243,0.985650,1.096541,0.684368,2000
primary,PAT detected: 120--450 ms,ppg_leading_mirror,PPG-leading mirror delay band,SBP,2714,173379,4.783003,0.569386,0.537543,0.627539,0.499665,2000
primary,PAT detected: 120--450 ms,direction_agnostic_local,Zero-centered nonzero local,SBP,2714,173379,5.386969,1.173353,1.137595,1.250375,0.760036,2000
primary,PAT detected: 120--450 ms,physiocat,PhysioCAT,DBP,2714,173379,3.069191,0.000000,0.000000,0.000000,0.000000,2000
primary,PAT detected: 120--450 ms,matched_no_delay,Matched no-delay,DBP,2714,173379,3.496767,0.427576,0.403948,0.475594,0.492313,2000
primary,PAT detected: 120--450 ms,ppg_leading_mirror,PPG-leading mirror delay band,DBP,2714,173379,3.425677,0.356485,0.329213,0.382946,0.517470,2000
primary,PAT detected: 120--450 ms,direction_agnostic_local,Zero-centered nonzero local,DBP,2714,173379,3.528032,0.458840,0.428418,0.500563,0.516755,2000
primary,PAT detected: outside 120--450 ms,physiocat,PhysioCAT,SBP,2167,4864,4.452413,0.000000,0.000000,0.000000,0.000000,2000
primary,PAT detected: outside 120--450 ms,matched_no_delay,Matched no-delay,SBP,2167,4864,5.236853,0.784441,0.653326,0.959726,0.248309,2000
primary,PAT detected: outside 120--450 ms,ppg_leading_mirror,PPG-leading mirror delay band,SBP,2167,4864,4.940765,0.488352,0.348730,0.626433,0.164903,2000
primary,PAT detected: outside 120--450 ms,direction_agnostic_local,Zero-centered nonzero local,SBP,2167,4864,5.417554,0.965142,0.842956,1.144680,0.308381,2000
primary,PAT detected: outside 120--450 ms,physiocat,PhysioCAT,DBP,2167,4864,3.318844,0.000000,0.000000,0.000000,0.000000,2000
primary,PAT detected: outside 120--450 ms,matched_no_delay,Matched no-delay,DBP,2167,4864,3.580967,0.262122,0.142041,0.358853,0.091948,2000
primary,PAT detected: outside 120--450 ms,ppg_leading_mirror,PPG-leading mirror delay band,DBP,2167,4864,3.547384,0.228539,0.103163,0.300052,0.104816,2000
primary,PAT detected: outside 120--450 ms,direction_agnostic_local,Zero-centered nonzero local,DBP,2167,4864,3.559112,0.240267,0.149871,0.344838,0.115268,2000
primary,PAT not detected,physiocat,PhysioCAT,SBP,2512,8009,5.221044,0.000000,0.000000,0.000000,0.000000,2000
primary,PAT not detected,matched_no_delay,Matched no-delay,SBP,2512,8009,5.774054,0.553010,0.395157,0.659750,0.169958,2000
primary,PAT not detected,ppg_leading_mirror,PPG-leading mirror delay band,SBP,2512,8009,5.627723,0.406680,0.263626,0.505177,0.143604,2000
primary,PAT not detected,direction_agnostic_local,Zero-centered nonzero local,SBP,2512,8009,5.771498,0.550454,0.375344,0.649227,0.155156,2000
