fold_id,seed,model,outcome,fold_mae,subjects
1,42,physiocat,SBP,4.337492,546
2,42,physiocat,SBP,4.273504,543
3,42,physiocat,SBP,4.251016,545
4,42,physiocat,SBP,4.226121,538
5,42,physiocat,SBP,4.259612,542
1,1337,physiocat,SBP,4.267077,546
2,1337,physiocat,SBP,4.205831,543
3,1337,physiocat,SBP,4.179468,545
4,1337,physiocat,SBP,4.152841,538
5,1337,physiocat,SBP,4.186127,542
1,2025,physiocat,SBP,4.347577,546
2,2025,physiocat,SBP,4.283256,543
3,2025,physiocat,SBP,4.258579,545
4,2025,physiocat,SBP,4.230961,538
5,2025,physiocat,SBP,4.267200,542
1,42,physiocat,DBP,3.120862,546
2,42,physiocat,DBP,3.106296,543
3,42,physiocat,DBP,3.143786,545
4,42,physiocat,DBP,3.083669,538
5,42,physiocat,DBP,3.134232,542
1,1337,physiocat,DBP,3.152630,546
2,1337,physiocat,DBP,3.137065,543
3,1337,physiocat,DBP,3.175583,545
4,1337,physiocat,DBP,3.118327,538
5,1337,physiocat,DBP,3.170371,542
1,2025,physiocat,DBP,3.127008,546
2,2025,physiocat,DBP,3.117369,543
3,2025,physiocat,DBP,3.153045,545
4,2025,physiocat,DBP,3.095444,538
5,2025,physiocat,DBP,3.144266,542
1,42,matched_no_delay,SBP,5.260622,546
2,42,matched_no_delay,SBP,5.334044,543
3,42,matched_no_delay,SBP,5.299043,545
4,42,matched_no_delay,SBP,5.226544,538
5,42,matched_no_delay,SBP,5.294213,542
1,1337,matched_no_delay,SBP,5.208907,546
2,1337,matched_no_delay,SBP,5.286079,543
3,1337,matched_no_delay,SBP,5.261259,545
4,1337,matched_no_delay,SBP,5.184157,538
5,1337,matched_no_delay,SBP,5.238266,542
1,2025,matched_no_delay,SBP,5.296128,546
2,2025,matched_no_delay,SBP,5.366836,543
3,2025,matched_no_delay,SBP,5.334865,545
4,2025,matched_no_delay,SBP,5.256065,538
5,2025,matched_no_delay,SBP,5.328413,542
1,42,matched_no_delay,DBP,3.522448,546
2,42,matched_no_delay,DBP,3.522597,543
3,42,matched_no_delay,DBP,3.608338,545
4,42,matched_no_delay,DBP,3.533684,538
5,42,matched_no_delay,DBP,3.486898,542
1,1337,matched_no_delay,DBP,3.551177,546
2,1337,matched_no_delay,DBP,3.551074,543
3,1337,matched_no_delay,DBP,3.633881,545
4,1337,matched_no_delay,DBP,3.557988,538
5,1337,matched_no_delay,DBP,3.514963,542
1,2025,matched_no_delay,DBP,3.530138,546
2,2025,matched_no_delay,DBP,3.531918,543
3,2025,matched_no_delay,DBP,3.612193,545
4,2025,matched_no_delay,DBP,3.540876,538
5,2025,matched_no_delay,DBP,3.496262,542
1,42,mufubp_net,SBP,5.072234,546
2,42,mufubp_net,SBP,5.214658,543
3,42,mufubp_net,SBP,5.192811,545
4,42,mufubp_net,SBP,5.027477,538
5,42,mufubp_net,SBP,5.191466,542
1,1337,mufubp_net,SBP,5.077092,546
2,1337,mufubp_net,SBP,5.211743,543
3,1337,mufubp_net,SBP,5.191521,545
4,1337,mufubp_net,SBP,5.026190,538
5,1337,mufubp_net,SBP,5.187381,542
1,2025,mufubp_net,SBP,5.085156,546
2,2025,mufubp_net,SBP,5.228542,543
3,2025,mufubp_net,SBP,5.199114,545
4,2025,mufubp_net,SBP,5.035941,538
5,2025,mufubp_net,SBP,5.197871,542
1,42,mufubp_net,DBP,3.354094,546
2,42,mufubp_net,DBP,3.418569,543
3,42,mufubp_net,DBP,3.475658,545
4,42,mufubp_net,DBP,3.375183,538
5,42,mufubp_net,DBP,3.370591,542
1,1337,mufubp_net,DBP,3.339434,546
2,1337,mufubp_net,DBP,3.402573,543
3,1337,mufubp_net,DBP,3.458435,545
4,1337,mufubp_net,DBP,3.358314,538
5,1337,mufubp_net,DBP,3.359484,542
1,2025,mufubp_net,DBP,3.337398,546
2,2025,mufubp_net,DBP,3.408319,543
3,2025,mufubp_net,DBP,3.464412,545
4,2025,mufubp_net,DBP,3.366607,538
5,2025,mufubp_net,DBP,3.361088,542
1,42,ppg_leading_mirror,SBP,4.875843,546
2,42,ppg_leading_mirror,SBP,4.854972,543
3,42,ppg_leading_mirror,SBP,4.892670,545
4,42,ppg_leading_mirror,SBP,4.781747,538
5,42,ppg_leading_mirror,SBP,4.805328,542
1,1337,ppg_leading_mirror,SBP,4.930826,546
2,1337,ppg_leading_mirror,SBP,4.909499,543
3,1337,ppg_leading_mirror,SBP,4.950801,545
4,1337,ppg_leading_mirror,SBP,4.843247,538
5,1337,ppg_leading_mirror,SBP,4.856292,542
1,2025,ppg_leading_mirror,SBP,4.871281,546
2,2025,ppg_leading_mirror,SBP,4.854110,543
3,2025,ppg_leading_mirror,SBP,4.883564,545
4,2025,ppg_leading_mirror,SBP,4.778508,538
5,2025,ppg_leading_mirror,SBP,4.805060,542
1,42,ppg_leading_mirror,DBP,3.487552,546
2,42,ppg_leading_mirror,DBP,3.431560,543
3,42,ppg_leading_mirror,DBP,3.486474,545
4,42,ppg_leading_mirror,DBP,3.442454,538
5,42,ppg_leading_mirror,DBP,3.458085,542
1,1337,ppg_leading_mirror,DBP,3.530197,546
2,1337,ppg_leading_mirror,DBP,3.474049,543
3,1337,ppg_leading_mirror,DBP,3.531014,545
