factor,level,outcome,n_subjects,n_windows,subject_weighted_mae,ci_low,ci_high
Age,18--40,SBP,182,12123,4.290012,4.179655,4.404669
Age,18--40,DBP,182,12123,3.187540,3.102897,3.269027
Age,41--65,SBP,1554,107135,4.243091,4.203270,4.281580
Age,41--65,DBP,1554,107135,3.120308,3.092597,3.148723
Age,>=66,SBP,978,66994,4.308184,4.256835,4.365110
Age,>=66,DBP,978,66994,3.100971,3.068145,3.135881
Sex,Female,SBP,985,67565,4.233453,4.180207,4.284284
Sex,Female,DBP,985,67565,3.077498,3.045024,3.112335
Sex,Male,SBP,1729,118687,4.290340,4.250332,4.330180
Sex,Male,DBP,1729,118687,3.140836,3.114999,3.166950
SBP range,SBP <120,SBP,2679,60521,4.304622,4.249138,4.358726
SBP range,SBP <120,DBP,2679,60521,3.158119,3.120606,3.197592
SBP range,SBP 120--139,SBP,2710,95809,4.186727,4.151292,4.224189
SBP range,SBP 120--139,DBP,2710,95809,3.088792,3.065281,3.112518
SBP range,SBP >=140,SBP,2591,29922,4.413197,4.342607,4.480950
SBP range,SBP >=140,DBP,2591,29922,3.127227,3.078823,3.171009
Signal quality,Lower,SBP,2714,96971,4.338704,4.302648,4.376165
Signal quality,Lower,DBP,2714,96971,3.248744,3.222259,3.274687
Signal quality,Middle,SBP,2518,67952,4.211431,4.156585,4.262858
Signal quality,Middle,DBP,2518,67952,2.969790,2.937479,2.999104
Signal quality,Higher,SBP,1705,21329,4.147381,4.066752,4.230953
Signal quality,Higher,DBP,1705,21329,2.878564,2.825419,2.932565
Rhythm,Regular,SBP,2696,180213,4.261710,4.230459,4.295972
Rhythm,Regular,DBP,2696,180213,3.119785,3.097541,3.139592
Rhythm,RR-irregular,SBP,274,6039,4.377427,4.144179,4.626217
Rhythm,RR-irregular,DBP,274,6039,3.153451,3.005986,3.306621
PAT compatibility,True,SBP,2714,173379,4.221839,4.191941,4.252569
PAT compatibility,True,DBP,2714,173379,3.081555,3.058592,3.101338
PAT compatibility,False,SBP,2641,12873,4.912029,4.824860,4.995301
PAT compatibility,False,DBP,2641,12873,3.605622,3.542310,3.666178
