configuration_id,model,input_view,learning_rate,weight_decay,batch_size,pretrain_epochs,maximum_epochs,early_stopping_patience,evaluation_scope,analysis_role,configuration_source,global_search_claimed,outer_test_used_for_configuration,fold_local_selection_scope
pcat-delay-v2,physiocat,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,five-fold subject-grouped primary model comparison,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
pcat-nodelay-v2,matched_no_delay,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,five-fold subject-grouped primary model comparison,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
mufu-v1,mufubp_net,window_robust,0.0003,0.0001,64,0,80,12,complete five-fold subject-grouped out-of-fold evaluation,five-fold subject-grouped primary model comparison,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
tesagru-v1,te_sagru,window_robust,0.0006,0.0001,16,0,80,12,complete five-fold subject-grouped out-of-fold evaluation,five-fold subject-grouped primary model comparison,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
bpnet-v1,bp_net,window_robust,0.0003,0.0001,16,0,80,12,complete five-fold subject-grouped out-of-fold evaluation,five-fold subject-grouped primary model comparison,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
cnnbilstm-v1,cnn_bilstm,window_robust,0.0001,0.0001,64,0,80,12,complete five-fold subject-grouped out-of-fold evaluation,five-fold subject-grouped primary model comparison,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-forest-v1,random_forest,window_robust,0.0,0.0,0,0,1,0,complete five-fold subject-grouped out-of-fold evaluation,five-fold subject-grouped primary model comparison,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
pat-ridge-v1,pat_ridge,window_robust,0.0,0.0,0,0,1,0,complete five-fold subject-grouped out-of-fold evaluation,five-fold subject-grouped primary model comparison,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
without_sqi_fusion-v3,without_sqi_fusion,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,five-fold factorized ablation,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
without_delay_and_sqi-v3,without_delay_and_sqi,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,five-fold factorized ablation,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
without_pretraining-v3,without_pretraining,window_robust,0.0006,0.0,32,0,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
physiocat_patch_local-v3,physiocat_patch_local,patch_local,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
matched_no_delay_patch_local-v3,matched_no_delay_patch_local,patch_local,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
ppg_leading_mirror-v3,ppg_leading_mirror,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
unidirectional_delay-v3,unidirectional_delay,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
direction_agnostic_local-v3,direction_agnostic_local,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
shifted_offsets_9_12-v3,shifted_offsets_9_12,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
offset_band_2_5_common-v3,offset_band_2_5_common,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
offset_band_3_6_common-v3,offset_band_3_6_common,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
offset_band_4_7_common-v3,offset_band_4_7_common,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
ecg_only-v3,ecg_only,window_robust,0.0006,0.0,32,0,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
ppg_only-v3,ppg_only,window_robust,0.0006,0.0,32,0,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
