me,mae,sde,rmse,pearson_r,within_5_pct,within_10_pct,within_15_pct,cohort,model,display_name,outcome,n_windows,n_subjects
0.165029,4.263173,5.480929,5.483398,0.929554,66.325731,93.024504,98.864979,pulsedb_vital,physiocat,PhysioCAT,SBP,186252,2714
0.163813,3.108044,3.976065,3.979427,0.911728,80.421150,98.333978,99.886713,pulsedb_vital,physiocat,PhysioCAT,DBP,186252,2714
0.149015,5.250650,6.853790,6.855391,0.885616,57.621932,86.760411,96.334536,pulsedb_vital,matched_no_delay,Matched no-delay cross-attention,SBP,186252,2714
0.072155,3.512501,4.545634,4.546195,0.883655,75.475163,96.526212,99.579602,pulsedb_vital,matched_no_delay,Matched no-delay cross-attention,DBP,186252,2714
-0.122907,5.104964,6.722624,6.723730,0.891881,59.292249,87.676374,96.579902,pulsedb_vital,mufubp_net,MuFuBP-Net,SBP,186252,2714
0.150980,3.378071,4.412763,4.415333,0.889143,77.315680,96.848356,99.579602,pulsedb_vital,mufubp_net,MuFuBP-Net,DBP,186252,2714
0.217930,5.532688,7.242895,7.246154,0.871077,55.566652,84.927947,95.475485,pulsedb_vital,te_sagru,TE-SAGRU,SBP,186252,2714
-0.000463,3.703206,4.834154,4.834141,0.870151,73.388742,95.496961,99.299336,pulsedb_vital,te_sagru,TE-SAGRU,DBP,186252,2714
0.236282,6.076556,7.971381,7.974861,0.842213,51.564547,81.597513,93.775100,pulsedb_vital,bp_net,BP-Net,SBP,186252,2714
0.203359,4.173955,5.457265,5.461038,0.833328,67.897794,93.172154,98.655585,pulsedb_vital,bp_net,BP-Net,DBP,186252,2714
-0.255137,6.366310,8.319534,8.323423,0.828109,49.460945,79.678071,92.732427,pulsedb_vital,cnn_bilstm,CNN-BiLSTM,SBP,186252,2714
0.228507,4.342654,5.655784,5.660383,0.813636,66.144256,92.292700,98.467667,pulsedb_vital,cnn_bilstm,CNN-BiLSTM,DBP,186252,2714
0.327328,8.324309,10.906836,10.911717,0.700933,39.365483,68.229066,84.927410,pulsedb_vital,random_forest,Engineered-feature random forest,SBP,186252,2714
-0.141043,5.198895,6.739316,6.740774,0.732944,57.700320,87.129803,96.705539,pulsedb_vital,random_forest,Engineered-feature random forest,DBP,186252,2714
-0.583483,9.516535,12.301823,12.315619,0.628092,34.178962,61.568198,79.537938,pulsedb_vital,pat_ridge,PAT/ridge model,SBP,186252,2714
0.374909,6.064586,7.859076,7.867992,0.646554,51.087237,81.604493,94.075768,pulsedb_vital,pat_ridge,PAT/ridge model,DBP,186252,2714
