me,mae,sde,rmse,pearson_r,within_5_pct,within_10_pct,within_15_pct,cohort,model,display_name,outcome,n_windows,n_subjects,evaluation_scope
0.169452,4.607875,5.987349,5.989730,0.917276,63.277710,90.685738,98.027404,pulsedb_vital,without_sqi_fusion,Without SQI-aware fusion,SBP,186252,2714,complete five-fold subject-grouped OOF
0.162610,3.333364,4.272052,4.275134,0.900094,77.303868,97.537208,99.795975,pulsedb_vital,without_sqi_fusion,Without SQI-aware fusion,DBP,186252,2714,complete five-fold subject-grouped OOF
0.119574,6.092551,7.992325,7.993198,0.851566,51.507098,81.375234,93.637652,pulsedb_vital,without_delay_and_sqi,Without delay band and SQI-aware fusion,SBP,186252,2714,complete five-fold subject-grouped OOF
0.067209,3.961557,5.139471,5.139896,0.857444,70.040590,94.412946,99.109808,pulsedb_vital,without_delay_and_sqi,Without delay band and SQI-aware fusion,DBP,186252,2714,complete five-fold subject-grouped OOF
0.165029,4.263173,5.480929,5.483398,0.929554,66.325731,93.024504,98.864979,pulsedb_vital,physiocat,PhysioCAT,SBP,186252,2714,complete five-fold subject-grouped OOF
0.163813,3.108044,3.976065,3.979427,0.911728,80.421150,98.333978,99.886713,pulsedb_vital,physiocat,PhysioCAT,DBP,186252,2714,complete five-fold subject-grouped OOF
0.149015,5.250650,6.853790,6.855391,0.885616,57.621932,86.760411,96.334536,pulsedb_vital,matched_no_delay,Matched no-delay cross-attention,SBP,186252,2714,complete five-fold subject-grouped OOF
0.072155,3.512501,4.545634,4.546195,0.883655,75.475163,96.526212,99.579602,pulsedb_vital,matched_no_delay,Matched no-delay cross-attention,DBP,186252,2714,complete five-fold subject-grouped OOF
0.164443,4.675018,6.058644,6.060858,0.915527,62.482551,90.396345,97.967270,pulsedb_vital,without_pretraining,Without contrastive pretraining,SBP,186252,2714,complete five-fold subject-grouped OOF
0.160181,3.311970,4.244414,4.247424,0.901153,77.582523,97.640294,99.799734,pulsedb_vital,without_pretraining,Without contrastive pretraining,DBP,186252,2714,complete five-fold subject-grouped OOF
0.177846,4.449145,5.714324,5.717076,0.923988,64.375148,91.991495,98.618538,pulsedb_vital,physiocat_patch_local,Delay band + patch-local normalization,SBP,186252,2714,complete five-fold subject-grouped OOF
0.160212,3.230984,4.130925,4.134019,0.905849,78.718081,97.911432,99.854498,pulsedb_vital,physiocat_patch_local,Delay band + patch-local normalization,DBP,186252,2714,complete five-fold subject-grouped OOF
0.128422,5.401045,7.053374,7.054524,0.879764,56.372012,85.833172,95.932930,pulsedb_vital,matched_no_delay_patch_local,No-delay + patch-local normalization,SBP,186252,2714,complete five-fold subject-grouped OOF
0.077427,3.593315,4.642999,4.643632,0.879660,74.293430,96.206752,99.550072,pulsedb_vital,matched_no_delay_patch_local,No-delay + patch-local normalization,DBP,186252,2714,complete five-fold subject-grouped OOF
0.143620,4.823447,6.239415,6.241051,0.911025,60.957198,89.536757,97.674119,pulsedb_vital,ppg_leading_mirror,PPG-leading mirror delay band,SBP,186252,2714,complete five-fold subject-grouped OOF
0.150515,3.449637,4.414370,4.416923,0.894324,75.935829,97.175332,99.745506,pulsedb_vital,ppg_leading_mirror,PPG-leading mirror delay band,DBP,186252,2714,complete five-fold subject-grouped OOF
0.179970,4.870855,6.316789,6.319335,0.909091,60.697335,89.298370,97.517879,pulsedb_vital,unidirectional_delay,Unidirectional delay-banded attention,SBP,186252,2714,complete five-fold subject-grouped OOF
0.157560,3.493138,4.467064,4.469830,0.892101,75.362412,96.994932,99.718124,pulsedb_vital,unidirectional_delay,Unidirectional delay-banded attention,DBP,186252,2714,complete five-fold subject-grouped OOF
0.119469,5.404303,7.047431,7.048424,0.879900,56.296845,85.789683,95.961923,pulsedb_vital,direction_agnostic_local,Zero-centered nonzero local mask,SBP,186252,2714,complete five-fold subject-grouped OOF
