cohort,point_id,window_id,projection_1,projection_2,method,sample_seed
PulseDB-Vital,1,pulsedb_vital-W0001793,0.248351,1.350890,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,2,pulsedb_vital-W0063801,0.642455,-0.857299,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,3,pulsedb_vital-W0084585,0.648786,-0.800395,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,4,pulsedb_vital-W0193137,1.351002,1.451128,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,5,pulsedb_vital-W0108092,0.944196,0.543438,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,6,pulsedb_vital-W0052482,1.156626,1.191663,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,7,pulsedb_vital-W0208475,0.901250,-0.785901,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,8,pulsedb_vital-W0016820,0.316654,1.150481,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,9,pulsedb_vital-W0068572,0.461174,2.344453,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,10,pulsedb_vital-W0125512,1.076694,0.679847,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,11,pulsedb_vital-W0215513,2.706307,-1.375802,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,12,pulsedb_vital-W0208262,0.582224,0.419624,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,13,pulsedb_vital-W0208322,2.339486,1.661344,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,14,pulsedb_vital-W0206109,2.036696,-1.083467,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,15,pulsedb_vital-W0134724,1.605812,-0.902560,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,16,pulsedb_vital-W0208673,0.869846,-0.327165,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,17,pulsedb_vital-W0167457,1.412421,-1.707418,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,18,pulsedb_vital-W0151569,1.971818,0.985444,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,19,pulsedb_vital-W0182613,0.495291,0.305592,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,20,pulsedb_vital-W0050403,1.330860,-1.949569,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,21,pulsedb_vital-W0198798,2.025434,-2.220949,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,22,pulsedb_vital-W0139910,1.765522,1.231624,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,23,pulsedb_vital-W0172692,1.968638,-0.037329,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,24,pulsedb_vital-W0129135,1.581758,-0.590515,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,25,pulsedb_vital-W0080864,2.615886,-1.327749,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,26,pulsedb_vital-W0099285,1.819594,0.983497,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,27,pulsedb_vital-W0096388,2.523691,-1.516637,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,28,pulsedb_vital-W0200605,1.091588,0.121930,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,29,pulsedb_vital-W0072723,1.809466,-0.646195,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,30,pulsedb_vital-W0104329,1.276040,2.096173,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,31,pulsedb_vital-W0057254,0.533091,-0.921156,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,32,pulsedb_vital-W0160970,1.072966,1.916674,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,33,pulsedb_vital-W0188986,0.793224,-0.177378,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,34,pulsedb_vital-W0091825,1.026392,-0.265737,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,35,pulsedb_vital-W0054911,1.586241,0.281355,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,36,pulsedb_vital-W0134439,0.681162,-0.972997,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,37,pulsedb_vital-W0111960,1.203975,1.051842,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,38,pulsedb_vital-W0119110,2.018786,0.083469,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,39,pulsedb_vital-W0099071,1.948229,-2.251251,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,40,pulsedb_vital-W0019651,1.427253,0.295922,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,41,pulsedb_vital-W0016870,1.862658,1.696973,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,42,pulsedb_vital-W0118047,2.090638,0.306772,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,43,pulsedb_vital-W0072296,1.879840,2.273408,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,44,pulsedb_vital-W0180812,1.440621,0.088466,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,45,pulsedb_vital-W0144328,0.130107,2.321167,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,46,pulsedb_vital-W0183455,1.543264,2.704374,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,47,pulsedb_vital-W0203389,2.773430,-1.311347,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,48,pulsedb_vital-W0086440,1.546376,1.425853,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,49,pulsedb_vital-W0177549,1.092605,1.636164,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,50,pulsedb_vital-W0098863,0.078093,2.475649,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,51,pulsedb_vital-W0049860,1.323000,0.536805,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,52,pulsedb_vital-W0122452,1.656916,0.674744,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,53,pulsedb_vital-W0170816,1.291310,-1.188593,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,54,pulsedb_vital-W0155939,0.819113,-0.693562,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,55,pulsedb_vital-W0085940,1.477535,-0.120088,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,56,pulsedb_vital-W0129535,1.250468,-1.203790,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,57,pulsedb_vital-W0044355,1.609822,0.079835,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,58,pulsedb_vital-W0117017,1.572539,0.526173,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,59,pulsedb_vital-W0000962,1.843722,-0.624008,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,60,pulsedb_vital-W0129120,1.813720,-0.631410,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,61,pulsedb_vital-W0129033,2.117339,1.232201,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,62,pulsedb_vital-W0178832,-0.038100,2.361141,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,63,pulsedb_vital-W0104070,2.456678,-1.925960,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,64,pulsedb_vital-W0028998,1.025226,0.420497,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,65,pulsedb_vital-W0108642,1.605723,2.287017,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,66,pulsedb_vital-W0167789,1.445590,2.681950,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,67,pulsedb_vital-W0047554,1.466841,-1.154445,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,68,pulsedb_vital-W0087467,0.743279,-0.301564,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,69,pulsedb_vital-W0210706,2.546664,0.071378,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,70,pulsedb_vital-W0220296,1.652606,-0.251384,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,71,pulsedb_vital-W0155115,1.309803,0.944430,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,72,pulsedb_vital-W0074770,1.135179,0.044723,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,73,pulsedb_vital-W0046598,1.467070,1.505849,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,74,pulsedb_vital-W0107720,0.568223,0.706942,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,75,pulsedb_vital-W0017201,2.442465,-1.065043,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,76,pulsedb_vital-W0062835,0.424017,1.575163,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,77,pulsedb_vital-W0216172,2.078984,1.927239,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,78,pulsedb_vital-W0169243,0.452086,2.215444,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,79,pulsedb_vital-W0166007,1.079708,1.206427,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,80,pulsedb_vital-W0063885,0.473820,-1.140106,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,81,pulsedb_vital-W0173748,1.430929,1.094820,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,82,pulsedb_vital-W0093813,1.314629,1.113931,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,83,pulsedb_vital-W0204415,2.219661,-2.181006,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,84,pulsedb_vital-W0147300,1.637311,0.742486,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,85,pulsedb_vital-W0058002,1.619170,1.452688,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,86,pulsedb_vital-W0072684,0.913199,-0.540801,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,87,pulsedb_vital-W0151907,1.834451,-1.543130,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,88,pulsedb_vital-W0070525,1.663808,-0.232086,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,89,pulsedb_vital-W0149769,0.832748,1.648429,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,90,pulsedb_vital-W0075492,1.671582,1.980498,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,91,pulsedb_vital-W0142396,1.964790,-0.522754,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,92,pulsedb_vital-W0109240,1.510124,-0.966146,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,93,pulsedb_vital-W0174377,0.575715,-1.023027,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,94,pulsedb_vital-W0129478,0.821372,1.822959,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,95,pulsedb_vital-W0054117,0.684676,1.032292,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,96,pulsedb_vital-W0055253,1.997510,-0.241979,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,97,pulsedb_vital-W0217235,0.488629,1.048225,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,98,pulsedb_vital-W0023713,1.696583,0.812817,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,99,pulsedb_vital-W0159095,2.269392,-0.211274,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,100,pulsedb_vital-W0142670,1.133866,0.035184,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,101,pulsedb_vital-W0182255,2.426522,-0.262869,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,102,pulsedb_vital-W0057878,1.452554,-0.522056,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,103,pulsedb_vital-W0163736,1.107826,-0.390903,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,104,pulsedb_vital-W0169354,1.948938,0.444669,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,105,pulsedb_vital-W0132162,1.051048,1.088606,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,106,pulsedb_vital-W0098178,2.009897,0.176621,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,107,pulsedb_vital-W0178635,1.274732,0.624137,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,108,pulsedb_vital-W0168808,0.854583,1.636930,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,109,pulsedb_vital-W0173596,0.673832,-0.188902,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,110,pulsedb_vital-W0071527,1.530038,0.499573,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,111,pulsedb_vital-W0151976,1.269108,-0.922218,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,112,pulsedb_vital-W0141638,-0.354426,1.401149,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,113,pulsedb_vital-W0059997,0.903335,0.687936,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,114,pulsedb_vital-W0005273,1.672182,0.483607,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,115,pulsedb_vital-W0023364,1.310126,0.061269,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,116,pulsedb_vital-W0150326,1.192509,1.927012,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,117,pulsedb_vital-W0162523,1.947467,-1.125961,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,118,pulsedb_vital-W0078718,0.892585,2.142949,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,119,pulsedb_vital-W0039441,1.983186,0.686333,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,120,pulsedb_vital-W0034968,2.630763,-0.131705,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,121,pulsedb_vital-W0151829,1.804804,0.410385,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,122,pulsedb_vital-W0214248,1.705073,0.427129,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,123,pulsedb_vital-W0188023,1.632361,-2.991266,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,124,pulsedb_vital-W0165602,1.446215,1.587082,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,125,pulsedb_vital-W0014189,1.662528,0.326291,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,126,pulsedb_vital-W0154576,1.574668,2.841506,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,127,pulsedb_vital-W0169122,2.243867,0.087833,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,128,pulsedb_vital-W0157085,1.093721,-0.075274,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,129,pulsedb_vital-W0214676,0.533395,1.759893,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,130,pulsedb_vital-W0039033,1.032657,1.853099,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,131,pulsedb_vital-W0047812,1.345044,1.242751,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,132,pulsedb_vital-W0196504,2.159632,-1.894379,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,133,pulsedb_vital-W0081335,0.999569,1.539188,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,134,pulsedb_vital-W0097541,0.329039,2.321902,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,135,pulsedb_vital-W0106177,2.054526,-2.613615,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,136,pulsedb_vital-W0143321,1.165960,-0.568047,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,137,pulsedb_vital-W0127932,0.958038,1.217232,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,138,pulsedb_vital-W0216367,1.264294,0.798114,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,139,pulsedb_vital-W0126864,1.366027,-1.625403,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,140,pulsedb_vital-W0143725,2.207529,0.278961,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,141,pulsedb_vital-W0121970,2.389149,1.721038,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,142,pulsedb_vital-W0191463,0.885435,1.851612,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,143,pulsedb_vital-W0189806,1.089946,-0.386926,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,144,pulsedb_vital-W0040022,1.219338,0.573161,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,145,pulsedb_vital-W0074082,2.120775,2.530433,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
